Step,CoalitionID_as,Lead,Issue,Creation,Members,Resources
0,0,11,3,1,"[11, 0, 1, 4, 5, 6, 7, 8, 10, 12, 15, 18, 19, 24, 25, 26, 27, 28, 29]",17.93962216670978
0,1,20,3,1,"[20, 2, 9, 14, 16, 21]",5.732860950680314
0,2,17,3,1,"[17, 3, 13, 22, 23]",4.749093594579448
1,3,11,3,2,"[11, 14, 5, 23, 8, 17, 2, 20, 29, 26]",9.411575735004499
1,4,9,2,2,"[9, 12, 15, 0, 16, 7, 19, 18, 4, 27, 28, 21, 3, 25, 10, 1, 13, 6, 22, 24]",19.07609652511859
2,5,11,3,3,"[11, 23, 5, 2, 8, 17, 14, 29, 26, 20]",9.546714718297274
2,6,9,2,3,"[9, 16, 7, 15, 21, 1, 27, 28, 13, 24, 10, 3, 0, 18, 19, 12, 4, 22, 6, 25]",19.281939732366034
3,7,11,3,4,"[11, 14, 20, 5, 17, 29, 8, 26, 23, 2]",9.65339070050369
3,8,9,2,4,"[9, 18, 15, 13, 7, 1, 28, 0, 16, 6, 10, 4, 25, 19, 21, 22, 3, 27, 12, 24]",19.068155873369136
4,9,11,3,5,"[11, 23, 14, 2, 5, 20, 26, 8, 29, 17]",9.616907644540525
4,10,9,2,5,"[9, 13, 6, 27, 12, 3, 21, 1, 7, 24, 16, 18, 19, 25, 10, 4, 28, 22, 0, 15]",19.020478955288066
5,11,11,3,6,"[11, 14, 5, 23, 2, 17, 20, 26, 29, 8]",9.489757487918684
5,12,9,2,6,"[9, 16, 19, 22, 27, 12, 21, 10, 13, 28, 3, 6, 18, 24, 7, 0, 1, 4, 25, 15]",18.98748083183368
6,13,9,2,7,"[9, 24, 7, 16, 1, 21, 10, 25, 15, 18, 19, 6, 13, 28, 0, 22, 3, 27, 4, 12]",18.782267702798887
6,14,11,3,7,"[11, 17, 26, 20, 14, 23, 2, 29, 8, 5]",9.63830477460751
7,15,9,2,8,"[9, 16, 25, 19, 13, 3, 21, 7, 24, 10, 6, 12, 4, 15, 18, 28, 1, 27, 0, 22]",19.253881389257156
7,16,11,3,8,"[11, 8, 26, 17, 23, 5, 29, 2, 14, 20]",9.60334657191955
8,17,9,2,9,"[9, 18, 6, 15, 24, 28, 10, 27, 4, 7, 1, 12, 22, 13, 3, 25, 0, 16, 21, 19]",19.14491480151834
8,18,11,2,9,"[11, 23, 17, 29, 8, 2, 26, 14, 20, 5]",9.536505687871935
9,19,9,2,10,"[9, 0, 7, 15, 21, 22, 19, 12, 18, 4, 13, 24, 25, 27, 28, 3, 16, 10, 6, 1]",19.084336390425953
9,20,11,2,10,"[11, 17, 20, 26, 23, 29, 14, 2, 8, 5]",9.59601721212322
10,21,9,2,11,"[9, 3, 1, 24, 25, 4, 21, 12, 10, 7, 6, 27, 0, 19, 18, 28, 22, 16, 15, 13]",19.11776794469572
10,22,11,2,11,"[11, 26, 14, 20, 2, 23, 17, 8, 5, 29]",9.581276706452652
11,23,9,2,12,"[9, 6, 1, 12, 16, 21, 15, 7, 22, 13, 4, 3, 10, 24, 18, 19, 25, 0, 28, 27]",19.0856616908326
11,24,5,3,12,"[5, 23, 29, 26, 14, 17, 8, 2, 20, 11]",9.615898264902516
12,25,9,2,13,"[9, 16, 18, 0, 27, 6, 15, 10, 7, 19, 28, 3, 24, 1, 13, 25, 4, 12, 21, 22]",19.178101539029193
12,26,5,3,13,"[5, 23, 20, 17, 11, 29, 8, 26, 2, 14]",9.709432930208907
13,27,5,3,14,"[5, 14, 8, 2, 17, 29, 20, 26, 11, 23]",9.402068818001476
13,28,9,2,14,"[9, 18, 7, 10, 27, 3, 4, 21, 1, 25, 6, 19, 0, 13, 22, 28, 12, 16, 24, 15]",19.11142999779965
14,29,5,3,15,"[5, 26, 29, 14, 11, 8, 17, 23, 2, 20]",9.635120414343909
14,30,9,2,15,"[9, 0, 16, 4, 25, 28, 15, 24, 22, 18, 1, 27, 6, 12, 21, 3, 7, 13, 10, 19]",19.11150023228664
15,31,2,3,16,"[2, 26, 23, 17, 29, 11, 14, 8, 20, 5]",9.619341370833064
15,32,1,2,16,"[1, 16, 0, 21, 19, 12, 3, 6, 18, 22, 15, 7, 24, 13, 10, 27, 28, 25, 4, 9]",18.881941884442483
16,33,2,3,17,"[2, 17, 23, 26, 20, 14, 5, 29, 11, 8]",9.45472881844974
16,34,1,2,17,"[1, 18, 24, 3, 28, 19, 10, 7, 9, 16, 13, 6, 0, 15, 21, 12, 22, 4, 27, 25]",19.10929228549759
17,35,2,3,18,"[2, 8, 14, 29, 26, 20, 11, 5, 17, 23]",9.65146786305383
17,36,1,2,18,"[1, 10, 22, 12, 4, 27, 9, 3, 18, 21, 15, 25, 24, 6, 19, 13, 28, 0, 16, 7]",19.161441611623836
18,37,2,3,19,"[2, 20, 17, 8, 14, 5, 26, 29, 23, 11]",9.51612687750012
18,38,1,2,19,"[1, 22, 9, 28, 6, 27, 16, 18, 25, 0, 3, 4, 12, 10, 21, 15, 24, 7, 19, 13]",19.133261708718983
