Step,CoalitionID_pf,Lead,Issue,Creation,Members,Resources
0,0,11,11,1,"[11, 12, 16, 13, 15, 4, 2, 1, 24, 7, 18, 20]",11.94662265083218
0,1,9,13,1,"[9, 25, 14, 3, 6, 10, 22]",6.979580825149425
0,2,17,13,1,"[17, 23, 27, 19, 5]",4.968252229070142
0,3,8,13,1,"[8, 29]",1.9987799474275336
0,4,28,13,1,"[28, 21, 26]",2.9942370364769846
1,5,11,13,2,"[11, 8, 17, 13, 15, 5, 18, 27, 29, 25, 7, 4, 16, 1, 24, 21, 28, 2, 20]",18.86940724982765
1,6,9,13,2,[9],1.0
1,7,26,13,2,"[26, 14, 3, 22, 19, 6, 12, 23]",7.939822271627804
2,8,11,13,3,"[11, 24, 1, 17, 5, 15, 7, 8, 27, 28, 13, 20, 4, 21, 2, 16, 29, 25, 18]",18.799427584206928
2,9,9,13,3,[9],1.0
2,10,26,13,3,"[26, 22, 14, 19, 12, 23, 3, 6]",7.9052541327160615
3,11,11,13,4,"[11, 15, 28, 2, 17, 5, 4, 16, 8, 7, 25, 29, 24, 21, 13, 18, 1, 20, 27]",18.78488118672616
3,12,9,13,4,[9],1.0
3,13,26,13,4,"[26, 12, 22, 3, 6, 23, 19, 14]",7.9059071813273345
4,14,8,13,5,"[8, 27, 13, 21, 23, 20, 25, 6, 9, 2, 4, 0, 1, 14, 18, 17]",15.743804225036872
4,15,11,13,5,"[11, 24, 28, 7, 16, 5, 15, 29]",7.939698133068797
4,16,26,13,5,"[26, 22, 12, 3, 19]",4.970223329567328
5,17,9,13,6,"[9, 20, 17, 2]",3.9782112392285103
5,18,8,13,6,"[8, 18, 4, 21, 27, 6, 1, 0, 13, 23, 14, 25]",11.853319681661699
5,19,11,13,6,"[11, 7, 28, 16, 24, 15, 5, 29]",7.9357539096273
5,20,26,13,6,"[26, 22, 19, 12, 3]",4.977831805732248
6,21,9,13,7,"[9, 17, 20, 2]",3.971761429447952
6,22,8,13,7,"[8, 14, 25, 6, 18, 13, 21, 4, 27, 0, 23, 1]",11.872700728421067
6,23,11,13,7,"[11, 16, 15, 7, 24, 28, 29, 5]",7.935234101464356
6,24,26,13,7,"[26, 12, 19, 3, 22]",4.978251828884046
7,25,9,13,8,"[9, 20, 2, 17]",3.9837079439520307
7,26,8,13,8,"[8, 6, 27, 23, 1, 4, 0, 13, 18, 21, 14]",10.919412538088757
7,27,11,13,8,"[11, 25, 15, 7, 29, 5, 16, 24, 28]",8.935541130923019
7,28,26,13,8,"[26, 3, 22, 19, 12]",4.993934852132307
8,29,9,13,9,"[9, 2, 17, 20]",3.979078456299774
8,30,8,13,9,"[8, 18, 21, 6, 13, 4, 1, 14, 27, 0, 23]",10.929112109146859
8,31,11,13,9,"[11, 25, 5, 15, 24, 28, 29, 16, 7]",8.920441575856545
8,32,26,13,9,"[26, 12, 22, 3, 19]",4.985697011678857
9,33,9,13,10,"[9, 17, 2, 20]",3.978418023606004
9,34,8,13,10,"[8, 14, 0, 1, 21, 18, 27, 16, 23, 13, 4, 6]",11.909876428905811
9,35,5,13,10,"[5, 29, 15, 26, 11, 28, 7, 3]",7.9615614270841455
9,36,10,13,10,"[10, 25]",1.9895308893848882
9,37,12,13,10,[12],1.0
10,38,9,13,11,"[9, 17, 2, 20]",3.9814645831302977
10,39,8,13,11,"[8, 1, 4, 27, 14, 10, 23, 16, 0, 18, 21, 6, 26, 13]",13.875767854295386
10,40,5,13,11,"[5, 3, 15, 29, 11, 7, 28]",6.9595465970754855
10,41,12,13,11,[12],1.0
10,42,19,13,11,[19],1.0
11,43,9,13,12,"[9, 2, 17, 20]",3.9752583396106678
11,44,8,13,12,"[8, 18, 14, 26, 23, 6, 5, 10, 11, 4, 29, 21, 16, 0, 13, 1, 27]",16.886072265859035
11,45,7,13,12,"[7, 12]",1.9745489618819683
11,46,28,13,12,[28],1.0
11,47,19,13,12,"[19, 22]",1.9938356227271798
11,48,3,13,12,[3],1.0
12,49,2,13,13,"[2, 26, 4, 17, 28, 5, 6, 13, 0, 11, 12, 20, 14, 29, 27, 23, 8, 1]",17.71375570192228
12,50,9,13,13,[9],1.0
12,51,7,13,13,[7],1.0
12,52,10,13,13,"[10, 24]",1.9795355952445948
12,53,18,13,13,"[18, 15]",1.9728092424213206
12,54,19,13,13,[19],1.0
12,55,21,13,13,"[21, 16, 25]",2.988732024017757
13,56,2,13,14,"[2, 4, 8, 1, 29, 17, 20, 6, 12, 0, 5, 26, 28, 13, 14, 23, 11, 27]",17.6926291951058
13,57,9,13,14,[9],1.0
13,58,7,13,14,"[7, 15]",1.958677779005203
13,59,10,13,14,[10],1.0
13,60,18,13,14,[18],1.0
13,61,19,13,14,[19],1.0
13,62,21,13,14,"[21, 16, 25, 24]",3.9817617207371816
14,63,2,13,15,"[2, 26, 0, 1, 5, 4, 6, 11, 8, 23, 12, 14, 28, 20, 13, 27, 17, 29]",17.72959457195917
14,64,9,13,15,[9],1.0
14,65,7,13,15,"[7, 21]",1.9915085411137223
14,66,10,13,15,"[10, 24]",1.9823118944547058
14,67,18,13,15,"[18, 15]",1.9604018586958283
14,68,19,13,15,[19],1.0
14,69,3,13,15,[3],1.0
15,70,5,13,16,"[5, 20, 14, 18, 0, 7, 23, 3, 11, 17, 2, 16, 29, 21, 9, 26, 28, 15, 1, 8]",19.806846531879824
15,71,4,13,16,[4],1.0
15,72,10,13,16,[10],1.0
15,73,6,13,16,"[6, 24]",1.9909408111884241
15,74,12,13,16,[12],1.0
15,75,19,13,16,[19],1.0
15,76,22,13,16,[22],1.0
16,77,5,13,17,"[5, 7, 3, 18, 26, 17, 23, 1, 8, 21, 9, 28, 0, 11, 15, 2, 16, 29, 20, 14]",19.80361527697242
16,78,4,13,17,[4],1.0
16,79,10,13,17,"[10, 25]",1.9734202582409877
16,80,6,13,17,"[6, 24, 12]",2.9736436567216176
16,81,19,13,17,[19],1.0
17,82,5,13,18,"[5, 17, 3, 16, 2, 7, 20, 8, 26, 29, 11, 14, 21, 0, 9, 23, 1, 15, 28, 18]",19.804744335014192
17,83,4,13,18,[4],1.0
17,84,10,13,18,"[10, 25]",1.9741045403899269
17,85,6,13,18,"[6, 24]",1.982647005649873
17,86,12,13,18,[12],1.0
17,87,19,13,18,[19],1.0
18,88,5,13,19,"[5, 2, 23, 0, 14, 20, 15, 1, 21, 16, 11, 28, 9, 8, 7, 26, 18, 29, 17, 3]",19.821114730996513
18,89,4,13,19,[4],1.0
18,90,10,13,19,[10],1.0
18,91,6,13,19,"[6, 24]",1.9867400549903027
18,92,12,13,19,[12],1.0
18,93,19,13,19,[19],1.0
18,94,22,13,19,[22],1.0
