Step,CoalitionID_pf,Lead,Issue,Creation,Members,Resources
0,0,11,11,1,"[11, 15, 24, 14, 4, 28, 26, 16, 25, 7, 13, 18, 1, 12, 0, 29, 5, 22]",17.917877875827134
0,1,20,13,1,"[20, 9, 2, 23, 10, 21, 17]",6.950094925756694
0,2,8,13,1,"[8, 3, 19, 6]",3.9756402741685406
1,3,11,13,2,"[11, 4, 21, 15, 20, 13, 24, 8, 28, 10, 9, 1, 27, 23, 16, 18]",15.889136335383103
1,4,17,13,2,"[17, 6, 0, 2, 22, 3, 12]",6.924034569715764
1,5,7,13,2,"[7, 26]",1.9779490558473698
1,6,5,13,2,"[5, 29, 19, 14, 25]",4.957801417300631
2,7,11,13,3,"[11, 10, 8, 27, 4, 21, 23, 13, 15, 16, 28, 9, 18, 1, 20, 24]",15.813740410479936
2,8,17,13,3,"[17, 3, 6, 2, 12, 0, 22]",6.898570410314533
2,9,7,13,3,"[7, 26]",1.9888268029352647
2,10,5,13,3,"[5, 19, 14, 25, 29]",4.965869755217519
3,11,11,13,4,"[11, 8, 23, 18, 13, 20, 24, 9, 27, 16, 28, 10, 1, 15, 21, 4]",15.81030510484641
3,12,17,13,4,"[17, 12, 6, 22, 2, 3, 0]",6.903983286270616
3,13,5,13,4,"[5, 19, 7, 14, 29, 25, 26]",6.9652823488480395
4,14,11,13,5,"[11, 21, 18, 13, 8, 23, 9, 16, 20, 10, 28, 24, 4, 27, 1, 15]",15.820275575574135
4,15,17,13,5,"[17, 12, 22, 3, 6, 0, 2]",6.948308214284258
4,16,5,13,5,"[5, 7, 14, 29, 26, 19, 25]",6.93627440982126
5,17,11,13,6,"[11, 4, 8, 20, 18, 1, 15, 10, 13, 28, 9, 27, 16, 24, 23]",14.857507909164374
5,18,17,13,6,"[17, 3, 22, 2, 12, 6, 0]",6.953634703918488
5,19,5,13,6,"[5, 7, 21, 14, 19, 25, 29, 26]",7.8990478483032955
6,20,9,13,7,"[9, 11, 8, 20, 17, 29]",5.947358445564747
6,21,5,13,7,"[5, 3, 10, 26, 27, 13, 6, 7, 25, 2, 21, 1, 14, 18, 19]",14.810795388724852
6,22,28,13,7,"[28, 23, 15]",2.98179528692284
6,23,4,13,7,[4],1.0
6,24,12,13,7,[12],1.0
6,25,16,13,7,[16],1.0
7,26,9,13,8,"[9, 11, 29, 17, 20, 8, 14]",6.951531676430727
7,27,5,13,8,"[5, 27, 19, 1, 13, 21, 3, 7, 18, 2, 6, 10, 25, 26]",13.829511010728115
7,28,4,13,8,"[4, 23]",1.9878027076558236
7,29,28,13,8,"[28, 15]",1.9807181979359654
7,30,12,13,8,"[12, 24]",1.9871633910857014
8,31,9,13,9,"[9, 17, 8, 20, 11, 29, 14]",6.926613459332975
8,32,5,13,9,"[5, 21, 13, 23, 2, 26, 19, 1, 18, 25, 3, 7, 6, 27, 10]",14.841921084439974
8,33,4,13,9,[4],1.0
8,34,28,13,9,[28],1.0
8,35,12,13,9,[12],1.0
8,36,16,13,9,[16],1.0
8,37,22,13,9,"[22, 24]",1.9823595322574428
9,38,9,13,10,"[9, 20, 17, 8, 11, 14, 29]",6.920669054929682
9,39,5,13,10,"[5, 10, 1, 19, 25, 21, 23, 7, 6, 13, 2, 26, 3, 27, 18]",14.820814046234881
9,40,4,13,10,[4],1.0
9,41,28,13,10,[28],1.0
9,42,12,13,10,[12],1.0
9,43,16,13,10,[16],1.0
9,44,0,13,10,[0],1.0
10,45,9,13,11,"[9, 14, 17, 11, 29, 20, 8]",6.909495726022768
10,46,5,13,11,"[5, 6, 7, 21, 13, 2, 27, 25, 23, 10, 18, 3, 26, 19, 1]",14.803073895640768
10,47,4,13,11,[4],1.0
10,48,28,13,11,[28],1.0
10,49,12,13,11,[12],1.0
10,50,16,13,11,[16],1.0
10,51,0,13,11,[0],1.0
11,52,9,13,12,"[9, 8, 11, 17, 14, 20, 29]",6.891927165246094
11,53,5,13,12,"[5, 1, 25, 13, 3, 2, 21, 10, 18, 23, 7, 19, 27, 26, 6]",14.804347116124507
11,54,4,13,12,[4],1.0
11,55,28,13,12,[28],1.0
11,56,12,13,12,[12],1.0
11,57,16,13,12,[16],1.0
11,58,0,13,12,[0],1.0
12,59,9,13,13,"[9, 29, 17, 11, 20, 8, 14]",6.901544954667589
12,60,5,13,13,"[5, 7, 23, 27, 1, 26, 18, 2, 3, 10, 25, 19, 6, 13, 21]",14.783356062712922
12,61,4,13,13,[4],1.0
12,62,28,13,13,[28],1.0
12,63,12,13,13,"[12, 22]",1.9797790779990279
12,64,0,13,13,[0],1.0
13,65,5,13,14,"[5, 13, 17, 10, 26, 14, 27, 21, 29, 25, 7, 8, 19, 2, 11, 6, 1, 23, 20, 3, 18]",20.654641614706676
13,66,9,13,14,[9],1.0
13,67,4,13,14,[4],1.0
13,68,28,13,14,[28],1.0
13,69,12,13,14,[12],1.0
13,70,0,13,14,[0],1.0
13,71,16,13,14,[16],1.0
14,72,5,13,15,"[5, 20, 17, 10, 3, 2, 21, 11, 14, 25, 13, 23, 6, 26, 29, 1, 27, 7, 19, 18, 8]",20.641191533087817
14,73,9,13,15,[9],1.0
14,74,4,13,15,[4],1.0
14,75,28,13,15,[28],1.0
14,76,12,13,15,[12],1.0
14,77,0,13,15,[0],1.0
14,78,16,13,15,"[16, 15]",1.9633369217313308
15,79,2,13,16,"[2, 17, 22, 4, 1, 11, 13, 24, 6, 29, 3, 18, 16, 20, 14, 8, 23, 10, 5, 27, 26]",20.757182454299087
15,80,9,13,16,[9],1.0
15,81,7,13,16,"[7, 15]",1.9612647003093708
15,82,28,13,16,[28],1.0
15,83,12,13,16,[12],1.0
15,84,19,13,16,[19],1.0
16,85,2,13,17,"[2, 4, 5, 16, 3, 6, 14, 18, 10, 24, 22, 26, 29, 13, 20, 17, 1, 11, 8, 23, 27]",20.734185578514204
16,86,9,13,17,[9],1.0
16,87,7,13,17,[7],1.0
16,88,12,13,17,"[12, 25]",1.9727348153422088
16,89,28,13,17,"[28, 15]",1.9800199483638359
17,90,2,13,18,"[2, 3, 26, 11, 27, 5, 20, 6, 1, 18, 23, 29, 13, 22, 16, 4, 17, 8, 10, 14, 24]",20.70526264825786
17,91,9,13,18,[9],1.0
17,92,7,13,18,"[7, 15]",1.9467525360810227
17,93,12,13,18,"[12, 19]",1.991091667200297
17,94,0,13,18,[0],1.0
18,95,2,13,19,"[2, 1, 6, 22, 20, 23, 11, 18, 17, 3, 4, 16, 29, 27, 10, 26, 13, 24, 5, 14, 8]",20.738603604623737
18,96,9,13,19,"[9, 12]",1.9934668109461788
18,97,7,13,19,"[7, 15]",1.9684752343673306
18,98,0,13,19,[0],1.0
18,99,28,13,19,"[28, 19]",1.9914752530178579
