Step,CoalitionID_pf,Lead,Issue,Creation,Members,Resources
16,102,5,13,17,"[5, 10, 4, 0, 28, 13, 19, 18, 9, 6, 24, 27, 7, 1, 15, 3]",15.810962118924916
16,103,2,13,17,"[2, 12, 16]",2.9921571299583727
16,104,11,7,17,"[11, 22, 25]",2.9632138582277645
16,105,8,13,17,[8],1.0
16,106,20,13,17,[20],1.0
16,107,17,13,17,[17],1.0
16,108,26,13,17,[26],1.0
16,109,21,13,17,"[21, 23]",1.9957675572210407
17,110,2,13,18,"[2, 3, 4, 10, 15, 6, 9, 19, 1, 16, 12]",10.920269182251806
17,111,5,13,18,"[5, 24, 0, 7, 27, 13, 18, 28]",7.898195214220888
17,112,11,7,18,"[11, 25, 22]",2.9640922758378037
17,113,8,7,18,[8],1.0
17,114,20,13,18,"[20, 21]",1.990322989687257
17,115,17,13,18,[17],1.0
17,116,26,13,18,[26],1.0
18,117,2,13,19,"[2, 12, 16, 6, 3, 9, 1, 15, 19, 10, 4]",10.908305933836342
18,118,5,13,19,"[5, 7, 13, 27, 0, 24, 18, 28]",7.890659865527469
18,119,11,7,19,"[11, 25, 22]",2.961004477916894
18,120,8,7,19,"[8, 23]",1.9927706246161587
18,121,20,13,19,"[20, 21]",1.9954222275518414
18,122,26,13,19,[26],1.0
