Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,1,"[[0.09899666666666662, 0.5943711144528536, 0.3542966642153488], [-0.3194366666666667, 0.58338, 0.6457033357846512], [-0.17669777777777784, 0.60648, 0.2669537124703398], [0.09624500000000002, 0.57747, 0.16403019075445524], [-0.3686910294245067, 0.6188398977447161, 0.3366094578616898], [-0.063635, 0.61819, 0.23240663891351537], [0.10309999999999997, 0.6186, 0.06137765758267797], [0.0463120588235294, 0.57199, 0.06258948724014848], [-0.022737619047619062, 0.57786, 0.07150974783099211], [0.10175000000000001, 0.6105, 0.06057397341452457], [-0.5449339561644205, 0.58482, 0.13451338792266843], [-0.7290022158755964, 0.6014658624964271, 0.15843320284703014], [-0.5690859210402226, 0.5516717560668969, 0.13345990262658203], [-0.21188998057020803, 0.63363, 0.10067126255431766], [-0.39878767680837635, 0.5975452945823826, 0.12024397202184738], [-0.2012363502057012, 0.5958862868960408, 0.09662740595921127]]",0
0,1,1,"[[0.12373, 0.734564893624577, 0.379180372864237], [-0.29998, 0.70012, 0.6208196271357631], [-0.15922777777777786, 0.7113, 0.26996238551675134], [0.12254999999999994, 0.7353, 0.19002202565857293], [-0.3635360294245067, 0.6495040462253562, 0.31415736801028304], [-0.054338333333333266, 0.67397, 0.22585822081439272], [0.12135999999999991, 0.72816, 0.06540310722724123], [0.06261872549019598, 0.66983, 0.06544743588720256], [-0.0038276190476189687, 0.69132, 0.07492553438914445], [0.11395333333333335, 0.68372, 0.061411520096420244], [-0.5247656228310873, 0.70583, 0.13263806439254333], [-0.7121638825422634, 0.7024650957647331, 0.15249701081034597], [-0.537934254373556, 0.7385328766526814, 0.13760350877056632], [-0.19759164723687472, 0.71942, 0.09883884491242982], [-0.3779126768083765, 0.7240386127791881, 0.12010143275009165], [-0.19444301687236787, 0.6395650643286608, 0.09113354076401443]]",1
0,2,1,"[[-0.04132500000000003, -0.21105922547844053, 0.4135227446297363], [-0.451855, -0.21113, 0.5864772553702637], [-0.3028427777777778, -0.15039, 0.24623618514354237], [-0.026096666666666685, -0.15658, 0.2107519370466767], [-0.5051860294245067, -0.19223149856573687, 0.5054727826237301], [-0.2046483333333333, -0.22789, 0.037539095186050746], [-0.02585333333333334, -0.15512, 0.048338072612880624], [-0.08356127450980394, -0.20725, 0.046252253177976446], [-0.157177619047619, -0.22878, 0.026775047109834967], [-0.04143999999999998, -0.24864, 0.07748052072245126], [-0.6712439561644209, -0.17304, 0.18629875458303385], [-0.8692722158755964, -0.2398737845558459, 0.23532173444900406], [-0.6980259210402227, -0.22174790258072635, 0.1780727931144351], [-0.35642831390354135, -0.2336, 0.045930510235072795], [-0.5377876768083764, -0.21874934272293597, 0.11775680877707717], [-0.3433446835390344, -0.23872862163858505, 0.03777350521823365]]",2
1,0,1,"[[0.01649944444444444, 0.594431805389714, 0.35429488498662254], [-0.46990611111111114, 0.58338, 0.6457051150133775], [-0.3072274074074075, 0.60648, 0.26691761492451105], [0.016040833333333337, 0.57747, 0.16400801055222744], [-0.5361089865976185, 0.6164733118496376, 0.336699161691899], [-0.17727249999999994, 0.61819, 0.23237521283136262], [0.017183333333333328, 0.6186, 0.06479287666873383], [0.04693436274509808, 0.57199, 0.05656621612672352], [-0.027599126984126903, 0.57786, 0.06522838610387993], [-0.06637500000000007, 0.6105, 0.07292228637131642], [-0.4782941856331566, 0.58482, 0.11453328471305614], [-0.9370310128989573, 0.6014658624964271, 0.16574804761434198], [-0.5268503645407576, 0.5516717560668969, 0.11619323942640937], [-0.43994837317941593, 0.63363, 0.11566063094521346], [-0.7811094486727569, 0.5843531110476283, 0.14852765428598336], [-0.14508275013562294, 0.5817781944141001, 0.07982737774434207]]",0
1,1,1,"[[0.020621666666666663, 0.733732396003475, 0.37933559315780196], [-0.4666633333333333, 0.70012, 0.620664406842198], [-0.30431574074074075, 0.7113, 0.2699361354096375], [0.020424999999999985, 0.7353, 0.19000354864549582], [-0.5352498199309518, 0.6469961125658547, 0.314224056717743], [-0.1757230555555555, 0.67397, 0.2258362592271236], [0.020226666666666657, 0.72816, 0.06865305124133603], [0.049652140522875844, 0.66983, 0.06014281339875473], [-0.02444746031746022, 0.69132, 0.06941277916478324], [-0.06434111111111118, 0.68372, 0.07254451143153104], [-0.47493279674426775, 0.70583, 0.11450650078455708], [-0.9342246240100684, 0.7024650957647331, 0.15872079743554102], [-0.5216584200963131, 0.7385328766526814, 0.12220921603201018], [-0.4375653176238604, 0.71942, 0.11220063889674778], [-0.7776302820060903, 0.7118866671025839, 0.1456269209641409], [-0.1439505279134007, 0.6282449590080843, 0.07598277065059796]]",1
1,2,1,"[[-0.006887500000000005, -0.20685569912943433, 0.4158950979554014], [-0.49197583333333333, -0.21113, 0.5841049020445986], [-0.3282515740740741, -0.15039, 0.24510223387827554], [-0.0043494444444444474, -0.15658, 0.20978139559058562], [-0.5588581532642851, -0.19040275760476905, 0.507750148005775], [-0.20077472222222217, -0.22789, 0.03736622252536369], [-0.00430888888888889, -0.15512, 0.05060972514566169], [0.02528880718954253, -0.20725, 0.07803619395716856], [-0.05000579365079355, -0.22878, 0.059993679376854285], [-0.09024000000000007, -0.24864, 0.05315643127359852], [-0.4993458522998233, -0.17304, 0.10950287002492777], [-0.9604093462322906, -0.2398737845558459, 0.24179986783104582], [-0.5483403645407576, -0.22174790258072635, 0.10959905150665246], [-0.46403809540163815, -0.2336, 0.07733122967825835], [-0.8042761153394236, -0.21467080161463772, 0.19649314171363816], [-0.16876747235784514, -0.23518817786068932, 0.023477809492194565]]",2
2,0,1,"[[0.0027499074074074075, 0.594768959142399, 0.35442105714396993], [-0.49498435185185186, 0.58338, 0.6455789428560301], [-0.3289823456790124, 0.60648, 0.2663996594010822], [0.002673472222222223, 0.57747, 0.16368975184541212], [-0.573589664087122, 0.6132491602490222, 0.33798630166950516], [-0.1962120833333333, 0.61819, 0.23192428708400045], [0.002863888888888888, 0.6186, 0.06932726995627533], [0.12644984477124183, 0.57199, 0.0501644812778101], [0.057304907407407416, 0.57786, 0.05861060084028152], [-0.1693958333333333, 0.6105, 0.08781042397806939], [-0.22898065765456108, 0.58482, 0.0916278530132063], [-0.9497291668018822, 0.6014658624964271, 0.17465293103718976], [-0.30648974029512766, 0.5516717560668969, 0.09662255087981257], [-0.5426225524221421, 0.63363, 0.1324372190732411], [-0.8977112631520806, 0.5842015577779033, 0.16686933754349909], [-0.05660651563302037, 0.5817781944141001, 0.07187733240061486]]",0
2,1,1,"[[0.0034369444444444404, 0.7320466041525208, 0.3788579872261801], [-0.4944438888888889, 0.70012, 0.62114201277382], [-0.3284970679012346, 0.7113, 0.2694722419891084], [0.003404166666666663, 0.7353, 0.18967702179513518], [-0.5734464696426775, 0.6435793696250892, 0.31540258343689836], [-0.19595384259259255, 0.67397, 0.225448152778858], [0.003371111111111113, 0.72816, 0.07292047182575784], [0.1269028077342048, 0.66983, 0.05462350159333776], [0.05783018518518521, 0.69132, 0.0637349397890534], [-0.16905685185185182, 0.68372, 0.08579724572551284], [-0.2284204261730796, 0.70583, 0.09399424152927391], [-0.9492614353204007, 0.7024650957647331, 0.16617897959017217], [-0.3056244162210535, 0.7385328766526814, 0.10505188976252529], [-0.5422253764962162, 0.71942, 0.12693320433199087], [-0.8971314020409695, 0.7116367796038829, 0.16188211295289964], [-0.05641781192931665, 0.6282449590080843, 0.06888341289947636]]",1
2,2,1,"[[-0.0011479166666666677, -0.1965133865856083, 0.4045687203067663], [-0.4986626388888889, -0.21113, 0.5954312796932336], [-0.33248637345679016, -0.15039, 0.24113028425149216], [-0.000724907407407408, -0.15658, 0.2063818299369493], [-0.5773811918648998, -0.18791517402127506, 0.5157271932777642], [-0.20012912037037034, -0.22789, 0.03676069253379439], [-0.0007181481481481483, -0.15512, 0.053645113454942286], [0.12284225217864922, -0.20725, 0.11468668352314634], [0.053570462962962986, -0.22878, 0.09809935851181935], [-0.1733733333333333, -0.24864, 0.026150521022136507], [-0.23248926876567216, -0.17304, 0.020654951540398835], [-0.9536255556907711, -0.2398737845558459, 0.24798468594753348], [-0.31007140696179425, -0.22174790258072635, 0.030686966227624634], [-0.5466375061258457, -0.2336, 0.10876121193083847], [-0.9015723742631917, -0.21459766987175177, 0.2386558992340739], [-0.06055396933672405, -0.23518817786068932, 0.06067460860748612]]",2
3,0,1,"[[0.00045831790123456806, 0.5950255666232868, 0.35451865723602666], [-0.49916405864197533, 0.58338, 0.6454813427639733], [-0.3326081687242799, 0.60648, 0.2654926174900425], [0.0004455787037037037, 0.57747, 0.16313241830502673], [-0.5937451386728273, 0.6097371945023807, 0.3402403367212696], [-0.1993686805555555, 0.61819, 0.23113462748366112], [0.00047731481481481453, 0.6186, 0.07424370191126298], [0.2111730133442264, 0.57199, 0.04333830393842574], [0.14859843694885377, 0.57786, 0.05155929121026209], [-0.25406597222222216, 0.6105, 0.10384439830914391], [0.012834337294676118, 0.58482, 0.06870211053116043], [-0.9250338463477651, 0.6014658624964271, 0.18335031550751799], [-0.0909889577781241, 0.5516717560668969, 0.077191003683184], [-0.6053687501003827, 0.63363, 0.14881811665482123], [-0.9383630132400442, 0.5711225670613073, 0.18287765982482954], [0.031663959621946916, 0.5679883766419569, 0.06607509842939192]]",0
3,1,1,"[[0.0005728240740740733, 0.7304772616120292, 0.378365577588813], [-0.49907398148148147, 0.70012, 0.621634422411187], [-0.33252728909465024, 0.7113, 0.26865137058475297], [0.0005673611111111105, 0.7353, 0.18909922408912425], [-0.5937212729320865, 0.6398576041294413, 0.317488016944276], [-0.19932564043209872, 0.67397, 0.22476138838184676], [0.000561851851851852, 0.72816, 0.07750779279215339], [0.21124850717138688, 0.66983, 0.04885064566882239], [0.14868598324515006, 0.69132, 0.05780438699528575], [-0.2540094753086419, 0.68372, 0.09989214795598696], [0.01292770920825631, 0.70583, 0.0738117975101825], [-0.9249558911008515, 0.7024650957647331, 0.17336191544277582], [-0.09084473709911176, 0.7385328766526814, 0.08834990632773812], [-0.6053025541127284, 0.71942, 0.1411167984588594], [-0.9382663697215257, 0.699438638239603, 0.17575684016034224], [0.031695410239230865, 0.6171163875486798, 0.06354776868785325]]",1
3,2,1,"[[-0.0001913194444444446, -0.18759953294637544, 0.393668982647775], [-0.4997771064814815, -0.21113, 0.606331017352225], [-0.3331921733539095, -0.15039, 0.2354800318355204], [-0.00012081790123456804, -0.15658, 0.20154581592554588], [-0.5943770599691236, -0.1852110373673453, 0.5270748496066467], [-0.20002152006172835, -0.22789, 0.03589930263228691], [-0.00011969135802469139, -0.15512, 0.04668727583818771], [0.21057174791212763, -0.20725, 0.12585109905184144], [0.14797602954144634, -0.22878, 0.11348179128811406], [-0.2547288888888888, -0.24864, 0.001834019800310535], [0.012249568776157543, -0.17304, 0.05581063214121014], [-0.9256832444959132, -0.2398737845558459, 0.20657104304623028], [-0.09158590222256854, -0.22174790258072635, 0.03920578783109549], [-0.606037909051, -0.2336, 0.11218114044292336], [-0.9390065317585627, -0.2105111120058404, 0.21819747748152715], [0.031006050671329624, -0.23170763766565253, 0.08017973307855966]]",2
4,0,1,"[[7.638631687242799e-05, 0.5953390218901086, 0.3546389401276471], [-0.4998606764403292, 0.58338, 0.645361059872353], [-0.3332124725651578, 0.60648, 0.26414919773722], [7.42631172839506e-05, 0.57747, 0.16230695161164532], [-0.614584558861091, 0.607673178683139, 0.3435787879827154], [-0.19989478009259254, 0.61819, 0.22996506266841926], [7.95524691358024e-05, 0.6186, 0.07953798417797411], [0.28961707085148863, 0.57199, 0.03631144881395659], [0.2332425966343329, 0.57786, 0.044315711284524974], [-0.3289276620370371, 0.6105, 0.12080470874930054], [0.2141091320326161, 0.58482, 0.047671172826540216], [-0.892310846125883, 0.6014658624964271, 0.19209063934769727], [0.08816850378238819, 0.5516717560668969, 0.05960371155685225], [-0.646530489297732, 0.63363, 0.1646208870692989], [-0.9555993353361346, 0.5577230703645571, 0.1963271917716104], [0.11138410515478238, 0.5545096533891619, 0.05871654440224475]]",0
