Step,AgentID,Run_number,Type,Belieftree,Affiliation
0,0,0,<class 'agent.Externalparties'>,"[[0.0, 0.60722, 0.3301382598720158], [-0.5, 0.73207, 0.6698617401279842], [-0.33333333333333337, 0.46024, 0.38080849997496485], [0.0, 0.4975, 0.3159621716241776], [-0.5619635416420309, 0.7833491451921705, 0.49443441076571554], [-0.19999999999999996, 0.72383, 0.26734869936195005], [0.0, 0.03781, 0.0040427547264265855], [-0.05882352941176472, 0.0215, 0.008588424442546327], [-0.1428571428571428, 0.02223, 0.13240804384974658], [0.0, -0.02188, 0.056066917904769795], [-0.770884747397305, -0.04465, 0.20392665717619998], [-0.9951326590507157, 0.03165, 0.18070058945373363], [-0.7932671052482673, -0.01736, 0.08386414176249657], [-0.3809939766842496, 0.67534, 0.1793536465622129], [-0.6007692121700516, -0.04674, 0.10861886545142234], [-0.3635476202468413, 0.03328, 0.04242995867044516], [0.02407], [0.0382588231734196], [0.7109035163887601], [-0.72638], [0.45868], [0.50181], [-0.04431978774347679], [0.03272], [-0.54634], [0.02427], [0.04147], [0.41527], [0.02124], [-0.41778], [0.72672], [0.34639], [0.91957], [0.00093], [-0.50944], [-0.02675], [0.01582], [0.36831], [-0.01157], [-0.35582], [0.68129], [0.32967], [0.90429], [-0.0233], [-0.8660539936734265], [-0.01672], [0.79778], [0.37351], [0.87786], [0.49299], [0.00627], [0.46166], [0.34329], [-0.43473], [0.01078], [-0.9078], [0.42078], [0.05106], [0.94848], [-0.46157], [-0.04228], [0.30904], [-0.17246], [-0.09467]]",0
0,1,0,<class 'agent.Externalparties'>,"[[0.0, 0.56342, 0.3194172005215715], [-0.5, 0.70048, 0.6805827994784285], [-0.33333333333333337, 0.48615, 0.4096548724248972], [0.0, 0.50677, 0.33282047429611367], [-0.5670872353094081, 0.71666, 0.48982505614623256], [-0.19999999999999996, 0.74067, 0.2709981058321145], [0.0, -0.04005, 0.0043151423989434695], [-0.05882352941176472, 0.00025, 0.009891866931273337], [-0.1428571428571428, 0.04202, 0.1286232361545742], [0.0, -0.02885, 0.05803780757692689], [-0.770884747397305, -0.04133, 0.2044600873045834], [-0.9951326590507157, 0.01606, 0.17850197509189292], [-0.7932671052482673, 0.00057, 0.08553108990540192], [-0.3809939766842496, 0.73157, 0.18225658382247803], [-0.6007692121700516, -0.03193, 0.10901069854306021], [-0.3635476202468413, 0.00187, 0.039371512270865626], [-0.04024], [0.04873694651409615], [0.7510315664450012], [-0.73101], [0.5391], [0.54717], [0.0391], [0.02463], [-0.47646], [-0.038], [-0.03786], [0.35871], [0.00663], [-0.40023], [0.74692], [0.2772], [0.88826], [0.03999], [-0.47871], [-0.00268], [0.01372], [0.36142], [-0.04737], [-0.38951], [0.72196], [0.32494], [0.91438], [-0.01585], [-0.9139042078156735], [0.0255], [0.78591], [0.39713], [0.90991], [0.50285], [-0.04135], [0.48392216456472426], [0.34502], [-0.4169], [-0.00855], [-0.87916], [0.39834], [0.05974], [0.87055], [-0.46374], [0.0347], [0.32341], [-0.23253], [-0.11407]]",1
0,2,0,<class 'agent.Externalparties'>,"[[0.0, -0.15132, 0.09925161188763028], [-0.5, 0.87329, 0.9007483881123697], [-0.33333333333333337, -0.2054, 0.5834798073700527], [0.0, -0.24689, 0.7043599524582687], [-0.5670872353094081, 0.0534, 0.49356313416070824], [-0.19999999999999996, 0.06111, 0.27450472654194497], [0.0, 0.00283, 0.02530987662798285], [-0.05882352941176472, 0.01014, 0.01424364599531039], [-0.1428571428571428, -0.04234, 0.021534301942892842], [0.0, 0.03092, 0.0061737783948314865], [-0.770884747397305, -0.04263, 0.14773551170347296], [-0.9951326590507157, -0.0065, 0.21480971075633687], [-0.7932671052482673, 0.00811, 0.160010499951305], [-0.3809939766842496, 0.67682, 0.21121310074398442], [-0.6007692121700516, -0.01206, 0.11754722558000423], [-0.3635476202468413, 0.03397, 0.08142234830387889], [-0.02794721519811358], [-0.04855], [0.7486248573491369], [-0.76318], [0.48665], [0.51852], [0.04124], [-0.02044], [-0.49389], [0.02131], [-0.0445], [0.37594], [-0.00287], [-0.41998], [0.72531], [0.25399], [0.9464], [-0.0186], [-0.50196], [-0.00961], [-0.0297], [0.37913], [-0.04717], [-0.35317], [0.66617], [0.33762], [0.90042], [-0.04159], [-0.9227303946955273], [-0.03533], [0.83719], [0.44033], [0.9468], [0.53157], [-0.00518], [0.522324281705738], [0.25445], [-0.35871], [0.04042], [-0.87513], [0.43943], [0.11433], [0.89041], [-0.48086], [-0.04164], [0.26303], [-0.21697], [-0.1257]]",2
0,3,0,<class 'agent.Externalparties'>,"[[0.0, 0.57789, 0.3227119666281349], [-0.5, 0.71284, 0.677288033371865], [-0.33333333333333337, 0.47822, 0.37627412429300267], [0.0, 0.51395, 0.3138519956231892], [-0.5670872353094081, 0.79873, 0.5083850684446211], [-0.19999999999999996, 0.73453, 0.25774090308134817], [0.0, 0.03947, 0.0041520929919946275], [-0.05882352941176472, -0.0046, 0.005704107840684137], [-0.1428571428571428, -0.03661, 0.12594737658804772], [0.0, -0.01077, 0.056528303964561336], [-0.770884747397305, 0.00856, 0.20756695725437904], [-0.9951326590507157, 0.04388, 0.18451023384313162], [-0.7932671052482673, -0.01394, 0.08198222984983002], [-0.3809939766842496, 0.73129, 0.18762037620406527], [-0.6007692121700516, -0.03756, 0.10655368201682526], [-0.3635476202468413, 0.01132, 0.03943463944648121], [0.0031006095744298217], [-0.021982951227045272], [0.7839474459165596], [-0.78072], [0.45428], [0.51452], [0.01986], [-0.00468], [-0.47144], [-0.02698], [0.04346], [0.35671], [0.04773], [-0.359], [0.69553], [0.30661], [0.89864], [0.04183], [-0.50543], [-0.02782], [0.01539], [0.44523], [0.02053], [-0.4471], [0.74954], [0.28961], [0.89952], [0.01346], [-0.9281824738664228], [-0.02907], [0.7988], [0.38555], [0.87398], [0.52346], [-0.01128], [0.49146], [0.32925], [-0.38919], [0.03686], [-0.89656], [0.40223], [0.05413], [0.90379], [-0.47041], [0.04082], [0.26814], [-0.21703], [-0.14328]]",0
0,4,0,<class 'agent.Externalparties'>,"[[0.0, 0.57085, 0.31992579806312765], [-0.5, 0.71347, 0.6800742019368723], [-0.33333333333333337, 0.51815, 0.3988210860700001], [0.0, 0.4854699240674256, 0.31990592371978854], [-0.5670872353094081, 0.70965, 0.4791000568674343], [-0.19999999999999996, 0.70752, 0.25420950004003046], [0.0, -0.02731, 0.0029279935164246308], [-0.05882352941176472, -0.00455, 0.005818840799382226], [-0.1428571428571428, 0.0437, 0.12961877656245716], [0.0, 0.01422, 0.06079086209355886], [-0.770884747397305, -0.00624, 0.2013229667706238], [-0.9951326590507157, 0.02716, 0.18147790084649537], [-0.7932671052482673, -0.02742, 0.08210894759207243], [-0.3809939766842496, 0.7173, 0.18484218268601713], [-0.6007692121700516, -0.01048, 0.10851847979077767], [-0.3635476202468413, 0.03354, 0.042573049342191034], [0.036894513615927826], [0.028782258971277397], [0.7717391801039867], [-0.74163], [0.45913], [0.48326802604985325], [-0.02081], [0.00311], [-0.48797], [-0.01959], [-0.00261], [0.44362], [0.01137], [-0.36488], [0.65592], [0.2968], [0.89921], [0.03986], [-0.47236], [-0.04725], [-0.02103], [0.42673], [0.01066], [-0.37525], [0.65272], [0.34374], [0.88378], [-0.01944], [-0.8957404698054148], [-0.04069], [0.80081], [0.43297], [0.87186], [0.52508], [-0.0437], [0.49013], [0.33044], [-0.42174], [0.0464], [-0.8649], [0.40803], [0.05389], [0.87409], [-0.50628], [-0.02656], [0.26396], [-0.19007], [-0.08213]]",1
0,5,0,<class 'agent.Externalparties'>,"[[0.0, -0.2236, 0.14008094122364084], [-0.5, 0.87262, 0.8599190587763591], [-0.33333333333333337, -0.17339, 0.5891169835132469], [0.0, -0.22678, 0.5766525615629077], [-0.5670872353094081, 0.05282, 0.42270223738207924], [-0.19999999999999996, 0.07795, 0.31359892360329766], [0.0, -0.04778, 0.009148880654217026], [-0.05882352941176472, 0.01274, 0.014349139218496995], [-0.1428571428571428, 0.00352, 0.028028191931881028], [0.0, -0.03227, 0.01700496375390915], [-0.770884747397305, -0.0438, 0.13922167391041182], [-0.9951326590507157, 0.04607, 0.199368749780419], [-0.7932671052482673, -0.04382, 0.1652118078276795], [-0.3809939766842496, 0.70984, 0.2176265147918957], [-0.6007692121700516, -0.0056, 0.14227984134087043], [-0.3635476202468413, -0.00967, 0.06776023679021945], [0.00389], [0.025819105672443058], [0.7213536071928788], [-0.7604], [0.5129], [0.45089], [-0.0441], [0.00869], [-0.50796], [0.0211], [-0.03791], [0.35349], [-0.02666], [-0.3531], [0.70882], [0.28585], [0.92462], [-0.01347], [-0.46626], [-0.03682], [-0.03631], [0.42056], [0.04322], [-0.37713], [0.66092], [0.34446], [0.90203], [-0.0409], [-0.9101730900749371], [-0.04307], [0.81266], [0.36011], [0.92056], [0.48412], [-0.01315], [0.54014], [0.32009], [-0.40019], [-0.03957], [-0.90845], [0.42943], [0.14246], [0.89408], [-0.54609], [-0.04195], [0.2776], [-0.23167], [-0.05581]]",2
0,6,0,<class 'agent.Policymakers'>,"[[0.0, 0.637918, 0.37102122372673585], [-0.4166666666666667, 0.6647725, 0.6289787762732642], [-0.2777777777777778, 0.49848950000000003, 0.41540657377766926], [0.0, -0.0016599029029990406, 0.29013820148029323], [-0.4725726960911734, 0.7084365, 0.4948334623957867], [-0.16666666666666663, 0.7727645, 0.2793512828301925], [0.0, 0.030019499999999994, 0.0036101053450085406], [-0.04901960784313727, -0.0078195, 0.008812112988647341], [-0.119047619047619, 0.0193985, 0.1291756044283437], [0.0, 0.034207, 0.05753131423999847], [-0.6424039561644208, 0.009117, 0.20065725727331996], [-0.8292772158755963, 0.063219, 0.17588665518456886], [-0.6610559210402227, -0.004795499999999998, 0.08141783748302757], [-0.31749498057020803, 0.7246945, 0.19342840291271698], [-0.5006410101417097, 0.013940500000000005, 0.10805431985765557], [-0.3029563502057011, 0.041521, 0.041426390286712994], [0.04426881911049481], [-0.002984935967698779], [0.7425514480504845], [-0.70916], [0.54783], [0.45518569424007416], [0.00897], [-0.03109], [-0.49222], [-0.0396], [-0.0384], [0.38514], [-0.03162], [-0.44102], [0.65742], [0.31594], [0.9262], [0.00545], [-0.54304], [-0.03969], [0.01534], [0.40158], [0.04972], [-0.44138], [0.69401], [0.32985], [0.89468], [-0.01946], [-0.8702706738802749], [0.02716], [0.79229], [0.37611], [0.86115], [0.4827], [0.01758], [0.47946], [0.32509], [-0.38996], [0.00133], [-0.91393], [0.39988], [0.11439], [0.90889], [-0.48337], [0.03907], [0.26079], [-0.17138], [-0.11278]]",0
0,7,0,<class 'agent.Policymakers'>,"[[0.0, 0.630305, 0.3576789808849728], [-0.4166666666666667, 0.7152369999999999, 0.6423210191150273], [-0.27777777777777785, 0.5380865, 0.41688115771838075], [0.0, 0.4292415058712135, 0.30193554785591736], [-0.4725726960911734, 0.727035301992996, 0.5073265266346116], [-0.16666666666666663, 0.7087479999999999, 0.2684461145732655], [0.0, 0.014287000000000001, 0.001677450296577478], [-0.04901960784313727, 0.035039, 0.013390579300093486], [-0.119047619047619, 0.06356, 0.1385291618611104], [0.0, 0.035925, 0.06384420796100176], [-0.6424039561644208, -0.0069694999999999965, 0.19656789455521967], [-0.8292772158755963, -0.00029399999999999565, 0.1679806250351532], [-0.6610559210402227, 0.067236, 0.08733060232705049], [-0.31749498057020803, 0.70367, 0.18930400620578408], [-0.5006410101417097, 0.06696250000000001, 0.10305044133630878], [-0.3029563502057011, 0.023461499999999996, 0.038325031121700576], [0.04446866478785434], [-0.0027441942540485298], [0.7984977587930804], [-0.78625], [0.51851], [0.47887541899219693], [0.03303537623959951], [0.04059], [-0.53476], [-0.04098], [-0.02551], [0.41099], [-0.01144], [-0.42226], [0.73856], [0.30343], [0.92858], [-0.00557], [-0.45996], [0.02382], [0.00283], [0.44912], [-0.00697], [-0.44006], [0.68206], [0.26371], [0.87638], [0.03527], [-0.913632596424735], [0.025], [0.83132], [0.42334], [0.86591], [0.5016], [0.01293], [0.49279], [0.25849], [-0.36202], [-0.0119], [-0.93], [0.39264], [0.08351], [0.86892], [-0.52751], [-0.03035], [0.326], [-0.2328], [-0.06876]]",1
0,8,0,<class 'agent.Policymakers'>,"[[0.0, -0.2058365, 0.13791000656262867], [-0.4166666666666667, 0.870039, 0.8620899934373714], [-0.27777777777777785, -0.23790299999999998, 0.5377995613631394], [0.0, -0.2390475, 0.7156379779694575], [-0.4725726960911734, 0.121916, 0.46022652772845957], [-0.16666666666666663, 0.089672, 0.3238443347592393], [0.0, -0.031703, 0.03429557802317247], [-0.04901960784313727, -0.030436, 0.004455298552361836], [-0.119047619047619, -0.0385665, 0.018948706095857443], [0.0, -0.013529500000000002, 0.003185424384720801], [-0.6424039561644208, 0.004074999999999999, 0.1543183149344417], [-0.8292772158755964, -0.0127395, 0.2144489976851848], [-0.6610559210402227, -0.021771, 0.15051508010390902], [-0.31749498057020803, 0.6801175, 0.23488075110759055], [-0.5006410101417097, -0.019561000000000002, 0.11326686095621658], [-0.30295635020570105, -0.006479000000000001, 0.07168498815654498], [0.01057311796910511], [-0.03670866711914051], [0.7400416312627607], [-0.78694], [0.50891], [0.5268], [-0.00212], [-0.01196], [-0.47202], [-0.02873], [-0.02139], [0.41924], [-0.01027], [-0.3717], [0.71784], [0.25762], [0.92919], [0.01924], [-0.47673], [-0.00142], [0.02538], [0.44076], [-0.03748], [-0.39446], [0.7423], [0.25649], [0.92429], [-0.03343], [-0.878302558274045], [-0.01621], [0.76841], [0.42169], [0.90644], [0.45735], [0.01784], [0.52926], [0.27614], [-0.35769], [-0.01608], [-0.94064], [0.37465], [0.12839], [0.91649], [-0.45544], [-0.03372], [0.25861], [-0.19876], [-0.13231]]",2
0,9,0,<class 'agent.Policymakers'>,"[[0.0, 0.603718, 0.35730746050174644], [-0.4166666666666667, 0.6692469999999999, 0.6426925394982536], [-0.2777777777777778, 0.5405365, 0.3835882089705461], [0.0, 0.5031025, 0.30992422343870263], [-0.4725726960911734, 0.7007345442764262, 0.4829848389036265], [-0.16666666666666663, 0.7900450000000001, 0.2771994496961754], [0.0, 0.063621, 0.00765364681982743], [-0.04901960784313727, 0.007114499999999999, 0.006752968925000827], [-0.119047619047619, 0.029192999999999997, 0.13450629560013241], [0.0, 0.0031610000000000006, 0.06127926880927679], [-0.6424039561644208, -0.005940500000000001, 0.20183582499620228], [-0.8292772158755963, 0.0275845, 0.1688214402101918], [-0.6610559210402227, 0.051682000000000006, 0.08869567564497448], [-0.31749498057020803, 0.6836639999999999, 0.18847982017402165], [-0.5006410101417097, 0.0115655, 0.10429535345726974], [-0.3029563502057011, 0.010256500000000005, 0.037679705363102584], [0.005308904309252725], [-0.04722164756135226], [0.7809616800598517], [-0.7307], [0.46263], [0.52173], [0.01909877048397455], [-0.00743], [-0.49204], [-0.03521], [0.03467], [0.38607], [0.01312], [-0.38469], [0.69896], [0.34949], [0.94398], [-0.02059], [-0.52601], [-0.01611], [0.01659], [0.35447], [-0.04387], [-0.3707], [0.72003], [0.33685], [0.94476], [-0.01261], [-0.9367034357082601], [-0.01371], [0.82659], [0.43145], [0.88749], [0.46575], [0.02092], [0.48204], [0.30235], [-0.41586], [-0.04476], [-0.86337], [0.42579], [0.06122], [0.92555], [-0.51524], [0.00481], [0.29289], [-0.23599], [-0.11315]]",0
