Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,9,"[[0.09836, 0.5898400236969784, 0.34595716866631937], [-0.3141683333333334, 0.61499, 0.6540428313336807], [-0.17212111111111117, 0.63394, 0.2732018253141538], [0.10551166666666667, 0.63307, 0.17880765817827918], [-0.3684576960911735, 0.6204131193271197, 0.33516231964071663], [-0.07441333333333333, 0.55352, 0.2128281968668503], [0.09879500000000002, 0.5926232902659957, 0.058024619855127184], [0.045992058823529414, 0.57007, 0.061560652484887714], [-0.013144285714285608, 0.63542, 0.07618340225757075], [0.09902333333333335, 0.59414, 0.05815872537531465], [-0.5357306228310875, 0.64004, 0.13811153079933192], [-0.7264105492089299, 0.6172, 0.15782679558922377], [-0.5620725877068894, 0.5936808497917687, 0.1357859607563944], [-0.22162831390354132, 0.5752, 0.09359919025062997], [-0.3932943434750429, 0.643934119169084, 0.12185485485622045], [-0.19516635020570117, 0.64674, 0.09889426777529912]]",0
0,1,9,"[[0.11196499999999998, 0.6701675609142288, 0.35582008235057105], [-0.29788499999999996, 0.71269, 0.6441799176494291], [-0.15917777777777764, 0.7116, 0.26483787871272363], [0.12317333333333336, 0.73904, 0.18730935231962292], [-0.3515226960911735, 0.7211732442133375, 0.3262491586073721], [-0.05427499999999996, 0.67435, 0.2216036103602813], [0.110205, 0.6610662946175762, 0.059780492988993704], [0.06642205882352936, 0.69265, 0.06793923151764795], [-0.008820952380952485, 0.66136, 0.07270767701132735], [0.1101833333333333, 0.6611, 0.059768739946801784], [-0.5330739561644209, 0.65598, 0.12900001214105059], [-0.7108205492089296, 0.71074, 0.15422456412216226], [-0.5459442543735561, 0.6904806092175672, 0.13415981083193693], [-0.19520664723687464, 0.73373, 0.10077998407942163], [-0.37578601014170954, 0.7489041156680347, 0.12204171073450976], [-0.17993968353903445, 0.7381, 0.09959777662614808]]",1
0,2,9,"[[-0.032178333333333364, -0.18183244491539713, 0.4035390384203624], [-0.45575999999999994, -0.23456, 0.5964609615796376], [-0.3143094444444445, -0.21919, 0.16684972611616977], [-0.03526666666666667, -0.2116, 0.309307613639414], [-0.51249936275784, -0.235628303258531, 0.48566158808817095], [-0.19564666666666664, -0.17388, 0.03818107215624518], [-0.040685, -0.24402859830832013, 0.07462776345393132], [-0.0820379411764706, -0.19811, 0.04258177780259631], [-0.14669595238095234, -0.16589, 0.007041459237742574], [-0.02624333333333334, -0.15746, 0.04813767413647956], [-0.6782756228310874, -0.21523, 0.16987125087386848], [-0.8547788825422632, -0.15301, 0.2574484068609745], [-0.6914509210402228, -0.18233359192587015, 0.18675959471205228], [-0.354834980570208, -0.22404, 0.047982975892614126], [-0.5390826768083763, -0.23059993116839467, 0.11315050188678066], [-0.3349813502057011, -0.19215, 0.05239859514296024]]",2
1,0,9,"[[0.01639333333333333, 0.5898000703083462, 0.34596244701971135], [-0.4690280555555556, 0.61499, 0.6540375529802887], [-0.3064646296296296, 0.63394, 0.33160300010507265], [0.017585277777777783, 0.63307, 0.21703059935818045], [0.06920371700703087, 0.6166607040285549, 0.19304283880048373], [-0.17906888888888883, 0.55352, 0.25832356173626314], [0.016465833333333332, 0.5926232902659957, 0.059268971548234926], [0.04688102941176475, 0.57007, 0.053820135171432054], [-0.026000238095237993, 0.63542, 0.0680399026366764], [-0.06682944444444452, 0.59414, 0.06799352976457085], [-0.4403996030026998, 0.64004, 0.11114417303712419], [-0.9370302034772291, 0.6172, 0.15988272754415706], [-0.49519007649714425, 0.5936808497917687, 0.11201149819963256], [-0.4690592511027688, 0.5752, 0.1074223219674907], [-0.7956474376447102, 0.6427119313416055, 0.14808889012111226], [-0.445206202433373, 0.64674, 0.11232785000956891]]",0
1,1,9,"[[0.018660833333333335, 0.6693623009351634, 0.3556317778198108], [-0.4663141666666667, 0.71269, 0.6443682221801892], [-0.30430740740740747, 0.7116, 0.31460716311950787], [0.020528888888888888, 0.73904, 0.22250919787403448], [0.07202621700703088, 0.71667513098627, 0.1996354830728654], [-0.17571249999999994, 0.67435, 0.26324815593359224], [0.018367499999999995, 0.6610662946175762, 0.06096178352311099], [0.05028602941176474, 0.69265, 0.06093002452470309], [-0.025279682539682474, 0.66136, 0.06512970000242325], [-0.06496944444444452, 0.6611, 0.06886972352469575], [-0.439956825224922, 0.65598, 0.10395268211778926], [-0.9344318701438957, 0.71074, 0.15604916680402484], [-0.4925020209415887, 0.6904806092175672, 0.11220922089059529], [-0.46465563999165765, 0.73373, 0.11367023958065219], [-0.7927293820891546, 0.7477968663094811, 0.14622826174455697], [-0.44266842465559514, 0.7381, 0.11199919728744838]]",1
1,2,9,"[[-0.005363055555555562, -0.1760017130403661, 0.3980325129447604], [-0.49262666666666666, -0.23456, 0.6019674870552396], [-0.3301626851851852, -0.21919, 0.17914024109925708], [-0.005877777777777777, -0.2116, 0.33209188753849944], [0.045196772562586474, -0.23218767166970367, 0.4477742980989845], [-0.1992744444444444, -0.17388, 0.04099357326325891], [-0.006780833333333333, -0.24402859830832013, 0.07484226070982183], [0.02554269607843143, -0.19811, 0.0705535556472841], [-0.04825884920634911, -0.16589, 0.03710796287679665], [-0.0877072222222223, -0.15746, 0.02200423502505535], [-0.46415710300269986, -0.21523, 0.07852662866026551], [-0.9584249256994513, -0.15301, 0.25407646666401845], [-0.5167531320526998, -0.18233359192587015, 0.10549610198127557], [-0.4912603622138799, -0.22404, 0.0842974264389499], [-0.8199454932002657, -0.23026496108870667, 0.1859151516408009], [-0.46850870243337295, -0.19215, 0.08718021035573181]]",2
2,0,9,"[[0.002732222222222221, 0.5896805635305203, 0.3457625575380654], [-0.49483800925925925, 0.6157610805005976, 0.6542374424619346], [-0.3288552160493827, 0.63394, 0.3384386358727489], [0.0029308796296296305, 0.63307, 0.22150444949579348], [0.11248302859975329, 0.6143319392727956, 0.176408293177163], [-0.19651148148148143, 0.55352, 0.26364862145429463], [0.0027443055555555554, 0.5926232902659957, 0.06328559936503839], [0.12644095588235293, 0.57007, 0.04759506726028895], [0.05757138888888891, 0.63542, 0.06199491191294582], [-0.16947157407407404, 0.59414, 0.08192462759303126], [-0.1304740922865043, 0.64004, 0.08266516932027414], [-0.9506461640582727, 0.6172, 0.1682075252321631], [-0.22608499974984037, 0.5936808497917687, 0.08794918020803398], [-0.611724544343797, 0.5752, 0.1273400699751066], [-0.9176512332624005, 0.64051383649796, 0.16740470614928973], [-0.39378178859056784, 0.64674, 0.111633142983828]]",0
2,1,9,"[[0.0031101388888888915, 0.6690420024960883, 0.35545200961725354], [-0.49438569444444447, 0.7131614084177448, 0.6445479903827465], [-0.3284956790123457, 0.7116, 0.3203292298606799], [0.00342148148148148, 0.73904, 0.2265561892652516], [0.11295344526641996, 0.7138955498880305, 0.18507847446024409], [-0.19595208333333328, 0.67435, 0.2680361064138243], [0.0030612499999999963, 0.6610662946175762, 0.06475045362489246], [0.12700845588235293, 0.69265, 0.05566149814548693], [0.05769148148148148, 0.66136, 0.05940351177073146], [-0.16916157407407406, 0.6611, 0.08170121792889604], [-0.13040029599020803, 0.65598, 0.07738311628999184], [-0.9502131085027172, 0.71074, 0.16344474575834192], [-0.2256369904905811, 0.6904806092175672, 0.09014981061326921], [-0.6109906091586118, 0.73373, 0.13232614271576976], [-0.917164890669808, 0.7454487768434344, 0.16383921356585182], [-0.3933588256276048, 0.7381, 0.11134028958676857]]",1
2,2,9,"[[-0.0008938425925925936, -0.1738713738589334, 0.3916265564180211], [-0.4987711111111111, -0.23005864860260414, 0.608373443581979], [-0.33280489197530866, -0.21919, 0.16492025433218524], [-0.0009796296296296298, -0.2116, 0.3057307404435101], [0.10848187119234588, -0.23019184940837828, 0.4916094639181399], [-0.19987907407407401, -0.17388, 0.03773954130616476], [-0.0011301388888888889, -0.24402859830832013, 0.08051485149287485], [0.12288456699346405, -0.19811, 0.10640178596962689], [0.053861620370370386, -0.16589, 0.07284224495177496], [-0.17295120370370368, -0.15746, 0.005134952146797341], [-0.1344336756198377, -0.21523, 0.02678198978366391], [-0.9542119510953098, -0.15301, 0.2655786959803168], [-0.22967884234243297, -0.18233359192587015, 0.015693783382957006], [-0.6154247295289822, -0.22404, 0.1297343896290027], [-0.9217009091883265, -0.2295056910118193, 0.22919397188083807], [-0.3976655385905678, -0.19215, 0.0681233347821474]]",2
3,0,9,"[[0.00045537037037036987, 0.5896511040013533, 0.34575256726157794], [-0.49913966820987654, 0.6157610805005976, 0.6542474327384221], [-0.33258698045267493, 0.63394, 0.33572532626443136], [0.0004884799382716049, 0.63307, 0.2197286175209595], [0.08619154990872582, 0.6130663282966279, 0.18301114242246383], [-0.19941858024691353, 0.55352, 0.2615349137921453], [0.0004573842592592594, 0.5926232902659957, 0.0679341848183645], [0.2111715318627449, 0.57007, 0.04117338505669866], [0.1486428505291007, 0.63542, 0.05584382434394411], [-0.25407859567901225, 0.59414, 0.09730894376174383], [0.14913826746319991, 0.64004, 0.05631700286613755], [-0.9279743336853469, 0.6172, 0.17726477950924013], [0.01785057264625803, 0.5936808497917687, 0.06606013631451481], [-0.6989598588627095, 0.5752, 0.14617358152857896], [-0.9567334572947439, 0.6385843132400568, 0.18323866969793376], [-0.30064522399212307, 0.64674, 0.10868549210284384]]",0
