,Agenda_issue,Belieftruth_tree,Chosen_instrument,Run_number
0,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5670872353094081, -0.19999999999999996, 0.0, -0.05882352941176472, -0.1428571428571428, 0.0, -0.770884747397305, -0.9951326590507157, -0.7932671052482673, -0.3809939766842496, -0.6007692121700516, -0.3635476202468413]",13,9
1,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.15673599962667173, -0.19999999999999996, 0.0, 0.04705882352941182, -0.02857142857142847, -0.10000000000000009, -0.42133339903702227, -0.9791541343308889, -0.4818135742551952, -0.5185454385426143, -0.8761180564786436, -0.49521417287890734]",13,9
2,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.12113889091829777, -0.19999999999999996, 0.0, 0.14235294117647057, 0.07428571428571429, -0.18999999999999995, -0.06848899014326526, -0.9533693561744815, -0.1722639844003796, -0.6402576029920026, -0.9420519923859386, -0.3834969058220068]",13,9
3,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.08093325417052033, -0.19999999999999996, 0.0, 0.22811764705882331, 0.16685714285714304, -0.2709999999999999, 0.20506073941314074, -0.9234399676107617, 0.06663768712547768, -0.716406921766492, -0.9645499021012126, -0.2820179110724341]",13,9
4,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.15125519883126137, -0.19999999999999996, 0.0, 0.3053058823529411, 0.2501714285714287, -0.3439000000000001, 0.4166615346808331, -0.8952140350435469, 0.24917938476689128, -0.764432142240552, -0.9748562551669703, -0.24992064481912768]",13,9
5,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.10121232574984362, -0.19999999999999996, 0.0, 0.374775294117647, 0.32515428571428595, -0.40951000000000004, 0.5801234829947357, -0.8707382972196795, 0.3875633074367171, -0.7933417662917417, -0.9801418565816624, -0.17016205896910075]",13,9
6,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.049583081431566756, -0.19999999999999996, 0.0, 0.43729776470588244, 0.3926388571428572, -0.46855899999999995, 0.7019008890561651, -0.8495912232938818, 0.49022473595903615, -0.8078552766183924, -0.9828084343034383, -0.10027347771212813]",13,9
7,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.14683576160446532, -0.19999999999999996, 0.0, 0.49356798823529413, 0.4533749714285713, -0.5217030999999999, 0.796951130309725, -0.8344176104903338, 0.5695313138878753, -0.8167831879685966, -0.9844355394156864, -0.11371048450926013]",13,9
8,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.08906367593676578, -0.19999999999999996, 0.0, 0.5442111894117649, 0.5080374742857141, -0.5695327899999998, 0.8715124792615097, -0.8237663171329739, 0.6307436751312159, -0.8221818069752476, -0.9854611777651735, -0.05691757055706537]",13,9
9,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.031559989228173935, -0.19999999999999996, 0.0, 0.5897900704705883, 0.5572337268571426, -0.6125795109999999, 0.9259804369856985, -0.8140467718997357, 0.6752989863075891, -0.8229035242634324, -0.9859052839973443, -0.006248930258675234]",13,9
10,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.13145413289346508, -0.19999999999999996, 0.0, 0.6308110634235293, 0.6015103541714284, -0.6513215599, 0.9694543656190202, -0.8085751681728113, 0.7106716015221506, -0.8240976903915064, -0.9862898049746874, -0.03910677754807723]",13,9
11,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.07029812088435783, -0.19999999999999996, 0.0, 0.6677299570811763, 0.6413593187542856, -0.68618940391, 1.0043970494285546, -0.8059144510737012, 0.7387803474623267, -0.8256455274039112, -0.9866301324104909, 0.00475168292036221]",13,9
12,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.010381526229935822, -0.19999999999999996, 0.0, 0.7009569613730589, 0.6772233868788571, -0.7175704635190001, 1.0284419587994291, -0.8017503691929363, 0.7579464446456867, -0.8244060072358136, -0.9866818853100631, 0.04491278892330208]",13,9
13,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.08177052061635504, -0.19999999999999996, 0.0, 0.7308612652357531, 0.7095010481909714, -0.7458134171671, 1.04779158626329, -0.799729374970791, 0.7732870626175026, -0.8241725274770226, -0.9867795443291291, 0.0170053405953956]",13,9
14,2,"[0.0, -0.5, -0.33333333333333337, 0.0, 0.020444010254264233, -0.19999999999999996, 0.0, 0.7577751387121776, 0.738550943371874, -0.7712320754503901, 1.0637009995860955, -0.7991956182564927, 0.785720142172363, -0.8247020305674595, -0.9869111278755183, 0.05362038400865288]",13,9
15,2,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.039211702718218944, -0.19999999999999996, 0.0, 0.7819976248409599, 0.7646958490346867, -0.7941088679053512, 1.073306685966744, -0.796408520141426, 0.7928967387927095, -0.8229209469825217, -0.9868310651185471, 0.08792708059753673]",13,9
16,2,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.0005618406250148533, -0.19999999999999996, 0.0, 0.803797862356864, 0.7882262641312181, -0.8146979811148161, 1.0809744285171456, -0.7945900541225579, 0.7984396606045421, -0.8217723441191547, -0.9867864972223804, 0.07194791188853444]",13,9
17,2,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.059974470308859495, -0.19999999999999996, 0.0, 0.8234180761211776, 0.8094036377180962, -0.8332281830033343, 1.0874577434134491, -0.7935547462129371, 0.8028892941085932, -0.8211812142434307, -0.9867753916752104, 0.10417460842034432]",13,9
18,2,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.11758155856651109, -0.19999999999999996, 0.0, 0.8410762685090598, 0.8284632739462867, -0.8499053647030008, 1.0901907651008464, -0.7904081372252376, 0.8040981082414786, -0.818687692793351, -0.9865999669398334, 0.13482932034065254]",13,9
