Step,CoalitionID_as,Lead,Issue,Creation,Members,Resources
0,0,11,3,1,"[11, 0, 2, 3, 7, 8, 10, 15, 18, 19, 20, 22, 24, 27, 28, 29]",15.23387750451084
0,1,9,4,1,"[9, 4, 13, 14, 16, 17, 21]",6.604486315277862
0,2,26,3,1,"[26, 5, 6, 12, 23, 25]",5.803400789028467
1,3,11,3,2,"[11, 26, 8, 5, 14, 20, 2, 29, 23, 17]",9.586762263063413
1,4,9,4,2,"[9, 10, 0, 4, 1, 16, 24, 28, 22, 18, 21, 3, 25, 27, 12, 6, 19, 13, 15, 7]",19.06016450052599
2,5,11,3,3,"[11, 8, 2, 23, 14, 29, 26, 20, 17, 5]",9.368581661680734
2,6,9,4,3,"[9, 0, 15, 13, 3, 24, 22, 28, 4, 7, 16, 25, 10, 6, 21, 12, 1, 19, 18, 27]",19.15008456931896
3,7,11,3,4,"[11, 5, 29, 20, 17, 23, 2, 8, 26, 14]",9.549684328706787
3,8,9,4,4,"[9, 15, 10, 6, 0, 22, 4, 25, 21, 24, 18, 19, 27, 7, 3, 16, 12, 1, 28, 13]",18.916004312089314
4,9,11,3,5,"[11, 2, 14, 20, 23, 17, 8, 29, 26, 5]",9.655358450448283
4,10,9,4,5,"[9, 12, 25, 28, 6, 10, 3, 4, 24, 21, 1, 7, 0, 27, 13, 22, 18, 16, 15, 19]",19.004711977252597
5,11,11,3,6,"[11, 29, 8, 23, 20, 17, 14, 26, 2, 5]",9.456987068665281
5,12,9,4,6,"[9, 16, 0, 1, 18, 28, 4, 25, 3, 21, 27, 15, 13, 12, 19, 10, 7, 24, 22, 6]",19.047617867995754
6,13,11,4,7,"[11, 29, 5, 20, 17, 23, 8, 26, 2, 14]",9.561076323304327
6,14,9,4,7,"[9, 19, 15, 12, 13, 28, 21, 4, 1, 0, 7, 18, 27, 24, 22, 16, 3, 25, 10, 6]",19.097511295490037
7,15,11,3,8,"[11, 8, 17, 29, 14, 26, 2, 5, 23, 20]",9.530868065459256
7,16,7,4,8,"[7, 3, 15, 25, 22, 19, 27, 21, 6, 18, 0, 4, 1, 9, 12, 28, 13, 10, 16, 24]",18.77047403869478
8,17,11,3,9,"[11, 14, 2, 26, 23, 8, 20, 29, 17, 5]",9.411481897282435
8,18,7,2,9,"[7, 15, 1, 18, 9, 28, 0, 13, 24, 4, 22, 10, 6, 27, 19, 3, 21, 25, 12, 16]",18.94245206794963
9,19,11,3,10,"[11, 23, 17, 2, 14, 5, 29, 8, 26, 20]",9.642017885134493
9,20,7,4,10,"[7, 13, 12, 18, 22, 9, 4, 21, 6, 1, 19, 0, 25, 27, 24, 15, 16, 3, 10, 28]",19.33399876425336
10,21,7,4,11,"[7, 4, 18, 24, 28, 6, 16, 12, 9, 22, 19, 25, 21, 10, 13, 15, 3, 1, 27, 0]",18.93610678114314
10,22,11,3,11,"[11, 8, 2, 17, 20, 14, 26, 23, 29, 5]",9.625773416299428
11,23,7,4,12,"[7, 21, 18, 24, 19, 15, 13, 9, 1, 4, 3, 10, 0, 28, 25, 6, 12, 22, 27, 16]",19.153782572364264
11,24,5,3,12,"[5, 23, 26, 8, 17, 20, 29, 2, 11, 14]",9.520578881990001
12,25,7,4,13,"[7, 3, 18, 25, 1, 6, 4, 24, 13, 22, 21, 10, 0, 15, 28, 16, 12, 9, 27, 19]",19.07386644728099
12,26,5,3,13,"[5, 17, 23, 20, 11, 29, 26, 14, 8, 2]",9.626300916295824
13,27,5,3,14,"[5, 14, 11, 2, 20, 17, 23, 29, 8, 26]",9.462480363246783
13,28,1,4,14,"[1, 24, 25, 27, 18, 6, 13, 21, 28, 12, 0, 9, 15, 7, 16, 10, 19, 4, 3, 22]",18.893144553181642
14,29,5,3,15,"[5, 14, 23, 8, 26, 2, 29, 17, 20, 11]",9.453247739596376
14,30,1,4,15,"[1, 10, 21, 13, 19, 28, 22, 25, 0, 18, 3, 15, 24, 16, 6, 27, 4, 9, 7, 12]",18.996569119820688
15,31,5,3,16,"[5, 14, 29, 11, 8, 17, 20, 26, 2, 23]",9.46329787819401
15,32,1,4,16,"[1, 15, 16, 24, 22, 7, 10, 18, 4, 3, 27, 9, 6, 19, 25, 12, 21, 13, 28, 0]",19.086900563795968
16,33,5,3,17,"[5, 17, 26, 23, 11, 20, 29, 2, 8, 14]",9.41587094352619
16,34,1,4,17,"[1, 6, 25, 19, 13, 3, 7, 22, 10, 27, 18, 15, 4, 28, 21, 16, 9, 0, 24, 12]",18.803771414830415
17,35,2,3,18,"[2, 17, 26, 8, 20, 11, 23, 5, 29, 14]",9.604972142696937
17,36,1,4,18,"[1, 10, 28, 4, 6, 27, 12, 15, 21, 7, 25, 3, 13, 9, 22, 0, 16, 24, 19, 18]",18.970753403916326
18,37,2,3,19,"[2, 26, 14, 17, 20, 8, 23, 11, 5, 29]",9.500440139284255
18,38,1,4,19,"[1, 13, 7, 28, 25, 4, 16, 22, 6, 18, 12, 10, 15, 21, 0, 24, 9, 19, 3, 27]",19.023428382580057
