Step,AgentID,Run_number,Type,Belieftree,Affiliation
0,0,1,<class 'agent.Externalparties'>,"[[0.0, 0.64623, 0.34215235715193354], [-0.5, 0.74249, 0.6578476428480664], [-0.33333333333333337, 0.52186, 0.40288445887682106], [0.0, 0.51219, 0.3161160796059096], [-0.5634604653956646, 0.7862735345042895, 0.4965645405959018], [-0.19999999999999996, 0.77666, 0.26428542401229144], [0.0, 0.01743, 0.001871430635348517], [-0.05882352941176472, 0.03986, 0.011479493680039985], [-0.1428571428571428, -0.0349, 0.12527848081274473], [0.0, -0.0004, 0.05834810213629484], [-0.770884747397305, 0.0175, 0.21524255036906248], [-0.9951326590507157, -0.04901, 0.16811583619944842], [-0.7932671052482673, -0.0104, 0.08405516260288119], [-0.3809939766842496, 0.7478, 0.19692694938824165], [-0.6007692121700516, 0.01858, 0.1028136993504699], [-0.3635476202468413, -0.02948, 0.03586829482546834], [0.00292], [-0.04815699488038008], [0.74693], [-0.7784], [0.50972], [0.52896], [-0.03307977847979597], [0.00082], [-0.46769], [-0.01498], [-0.01929], [0.36878], [0.02954], [-0.41577], [0.66398], [0.30369], [0.90701], [0.02303], [-0.52162], [-0.044], [-0.00119], [0.36617], [0.02959], [-0.43944], [0.66152], [0.3271], [0.9282], [0.00788], [-0.9387123389991228], [0.0061], [0.78449], [0.40233], [0.90116], [0.4591], [-0.04922], [0.52257], [0.25059], [-0.43207], [0.04618], [-0.89933], [0.40734], [0.10996], [0.93831], [-0.45548], [0.01504], [0.31849], [-0.22284], [-0.0747]]",0
0,1,1,<class 'agent.Externalparties'>,"[[0.0, 0.59862, 0.3345086753653153], [-0.5, 0.69093, 0.6654913246346846], [-0.33333333333333337, 0.54882, 0.4129949151854167], [0.0, 0.46575, 0.274111901682195], [-0.5670872353094081, 0.79979, 0.49990087511842207], [-0.19999999999999996, 0.7746, 0.26416358569333986], [0.0, 0.00846, 0.0008805382906138828], [-0.05882352941176472, -0.01996, 0.004045014864711308], [-0.1428571428571428, -0.00034, 0.12736046426427491], [0.0, 0.04259, 0.0561131690043195], [-0.770884747397305, -0.00999, 0.21357372673429212], [-0.9951326590507157, 0.03177, 0.18083214959993257], [-0.7932671052482673, 0.01755, 0.08439190400186831], [-0.3809939766842496, 0.70897, 0.1803733805427573], [-0.6007692121700516, 0.04969, 0.10998920377087823], [-0.3635476202468413, 0.04421, 0.04244044892635205], [-0.01048], [-0.008288088250130362], [0.7961672383916013], [-0.74696], [0.53869], [0.45809], [-0.0319], [-0.01109], [-0.4721], [-0.00579], [0.02663], [0.41028], [-0.00696], [-0.42941], [0.73117], [0.28872], [0.89028], [-0.02429], [-0.49439], [-0.0473], [0.00179], [0.43004], [-0.0267], [-0.42102], [0.65949], [0.34018], [0.92467], [0.01212], [-0.9434765310980197], [-0.02622], [0.79095], [0.36326], [0.94454], [0.51979], [-0.0384], [0.4739176170117232], [0.29724], [-0.35895], [0.00712], [-0.93249], [0.4114], [0.09109], [0.93059], [-0.47378], [0.01894], [0.31232], [-0.24331], [-0.10096]]",1
0,2,1,<class 'agent.Externalparties'>,"[[0.0, -0.20268, 0.1291177463640244], [-0.5, 0.86705, 0.8708822536359756], [-0.33333333333333337, -0.24486, 0.5556162452304038], [0.0, -0.24072, 0.6412829793918433], [-0.5670872353094081, 0.10569, 0.46890120208513375], [-0.19999999999999996, 0.09947, 0.3256558433900812], [0.0, -0.00058, 0.026165902107642046], [-0.05882352941176472, -0.01812, 0.008715738275052091], [-0.1428571428571428, -0.04296, 0.021861326422773], [0.0, 0.02377, 0.004766480236628676], [-0.770884747397305, 0.01419, 0.15888201580225075], [-0.9951326590507157, -0.00301, 0.21619775675857572], [-0.7932671052482673, 0.04749, 0.16859285342747168], [-0.3809939766842496, 0.70754, 0.21827832085672255], [-0.6007692121700516, -0.04128, 0.11219159749328983], [-0.3635476202468413, -0.04265, 0.06434800861959374], [0.04791], [-0.03660891329543354], [0.7525887968886569], [-0.74296], [0.53918], [0.51549], [0.01751], [0.02474], [-0.46637], [0.03051], [0.0391], [0.44188], [0.02021], [-0.36944], [0.73536], [0.34928], [0.88915], [0.01585], [-0.53966], [-0.01147], [-0.0379], [0.38609], [-0.03014], [-0.35741], [0.67587], [0.33789], [0.85214], [0.03744], [-0.9159623450385992], [-0.00817], [0.82566], [0.40549], [0.86996], [0.50406], [-0.02531], [0.4809561163057916], [0.3062], [-0.42162], [0.04223], [-0.88836], [0.40332], [0.05447], [0.9187], [-0.52065], [0.02361], [0.30927], [-0.22524], [-0.05333]]",2
0,3,1,<class 'agent.Externalparties'>,"[[0.0, 0.59503, 0.3313213766683557], [-0.5, 0.7009, 0.6686786233316443], [-0.33333333333333337, 0.45715, 0.36888174312550226], [0.0, 0.53411, 0.30839932037996715], [-0.5670872353094081, 0.75021, 0.4772298865261454], [-0.19999999999999996, 0.79704, 0.2741602632528402], [0.0, 0.03439, 0.003715317348752404], [-0.05882352941176472, -0.04903, 0.0010580421555407501], [-0.1428571428571428, -0.01863, 0.12703863407281818], [0.0, 0.04453, 0.06864714273284152], [-0.770884747397305, 0.02999, 0.21357884180520284], [-0.9951326590507157, -0.02011, 0.17021448488717472], [-0.7932671052482673, -0.04206, 0.086353827990736], [-0.3809939766842496, 0.67926, 0.1924000451801995], [-0.6007692121700516, -0.03576, 0.09904561118397247], [-0.3635476202468413, -0.01229, 0.037948052642761645], [-0.00457], [-0.014118181260515705], [0.7113519204922701], [-0.74292], [0.45979], [0.48996], [-0.0181], [0.0007], [-0.53786], [0.00052], [0.04495], [0.35965], [-0.02514], [-0.41111], [0.73125], [0.31569], [0.94792], [0.02889], [-0.49851], [-0.0286], [-0.01641], [0.39022], [-0.02383], [-0.43863], [0.66358], [0.33319], [0.88915], [-0.0333], [-0.886583384058945], [-0.03157], [0.79836], [0.44856], [0.89279], [0.45588], [0.03652], [0.5449444886409062], [0.26705], [-0.42847], [-0.02907], [-0.90893], [0.39398], [0.09165], [0.8852], [-0.484], [-0.03047], [0.28187], [-0.1887], [-0.07803]]",0
0,4,1,<class 'agent.Externalparties'>,"[[0.0, 0.6203, 0.3487750982564057], [-0.5, 0.65821, 0.6512249017435944], [-0.33333333333333337, 0.4613, 0.3728484899220024], [0.0, 0.45541, 0.2767565457275613], [-0.5670872353094081, 0.79924, 0.5138903917813493], [-0.19999999999999996, 0.76264, 0.26896819149798135], [0.0, -0.00165, 0.0001733065560460272], [-0.05882352941176472, 0.01002, 0.012777637885153525], [-0.1428571428571428, -0.04799, 0.12066166001874253], [0.0, 0.03492, 0.06365117005027007], [-0.770884747397305, -0.03909, 0.2035394262455505], [-0.9951326590507157, -0.02953, 0.17680780598212514], [-0.7932671052482673, -0.03489, 0.08165039605705542], [-0.3809939766842496, 0.72328, 0.18446872401606262], [-0.6007692121700516, 0.0454, 0.1145210989645395], [-0.3635476202468413, 0.03393, 0.04174877422445498], [-0.01689], [-0.0154687391080602], [0.7647477128655511], [-0.7175], [0.46606], [0.4626174134269107], [-0.01725], [-0.00024], [-0.51265], [-0.03667], [0.0382], [0.39911], [0.02824], [-0.39613], [0.65338], [0.32729], [0.85192], [-0.03756], [-0.49348], [0.02662], [-0.01944], [0.41942], [-0.04388], [-0.38718], [0.71316], [0.3251], [0.87218], [0.00644], [-0.8575591790787986], [0.03865], [0.77135], [0.41797], [0.88269], [0.5253], [0.0139], [0.48022799568916374], [0.32507], [-0.36118], [0.04385], [-0.90035], [0.40933], [0.11324], [0.87789], [-0.52079], [0.03929], [0.31303], [-0.21516], [-0.08174]]",1
0,5,1,<class 'agent.Externalparties'>,"[[0.0, -0.19682, 0.12525615080122698], [-0.5, 0.87452, 0.874743849198773], [-0.33333333333333337, -0.15861, 0.5629250282148108], [0.0, -0.18824, 0.5841197415522073], [-0.5670872353094081, 0.10543, 0.45212624722744255], [-0.19999999999999996, 0.08233, 0.30478092769659065], [0.0, 0.03001, 0.025424271046861756], [-0.05882352941176472, -0.04006, 0.003810778604361178], [-0.1428571428571428, 0.01132, 0.03131260352933135], [0.0, 0.01903, 0.003864897442776612], [-0.770884747397305, -0.02071, 0.15235672426964977], [-0.9951326590507157, 0.04593, 0.22706976644190513], [-0.7932671052482673, -0.01505, 0.15805198633731193], [-0.3809939766842496, 0.69762, 0.21906108251340353], [-0.6007692121700516, -0.03812, 0.11427122970553379], [-0.3635476202468413, -0.0446, 0.06477666010886511], [-0.00419], [-0.03412669501915961], [0.7935612174153983], [-0.72873], [0.48227], [0.49112], [0.00065], [0.02051], [-0.50979], [0.04622], [0.00049], [0.3525], [0.02167], [-0.4114], [0.7083], [0.25043], [0.87947], [-0.04355], [-0.5056], [0.01635], [0.01258], [0.39728], [0.0117], [-0.40897], [0.67546], [0.27203], [0.9482], [0.02081], [-0.8746572412983926], [0.00566], [0.79624], [0.39202], [0.87163], [0.52136], [0.02966], [0.5011661308570624], [0.25069], [-0.41088], [-0.01516], [-0.90737], [0.38321], [0.0621], [0.88449], [-0.50227], [-0.01209], [0.3335], [-0.22333], [-0.07047]]",2
0,6,1,<class 'agent.Policymakers'>,"[[0.0, 0.6165425, 0.3661031633131131], [-0.4166666666666667, 0.6508585, 0.6338968366868869], [-0.2777777777777778, 0.52041, 0.37750535906001403], [0.0, 0.49352591189977774, 0.3061134229331948], [-0.4725726960911734, 0.7175109999999999, 0.48731763497354735], [-0.16666666666666663, 0.7442074999999999, 0.26576109643392914], [0.0, 0.0774705, 0.009312622910096107], [-0.04901960784313727, 0.0333305, 0.010248256234827096], [-0.119047619047619, -0.017970499999999993, 0.12409778071576201], [0.0, -0.008101999999999998, 0.05388977764706621], [-0.6424039561644208, 0.0509105, 0.21012783191901757], [-0.8292772158755963, -0.012857499999999994, 0.1736955267927501], [-0.6610559210402227, 0.06878300000000001, 0.09397886595571159], [-0.31749498057020803, 0.6704235, 0.18801882889762314], [-0.5006410101417097, -0.012792499999999998, 0.09913769468901225], [-0.3029563502057011, 0.008941499999999998, 0.03749281423813369], [-0.03495], [-0.04039077395715813], [0.7945802847884608], [-0.76496], [0.47204], [0.4799998268541304], [-0.04105], [0.00543], [-0.46819], [-0.00529], [0.03148], [0.41459], [-0.01324], [-0.44344], [0.65001], [0.2866], [0.93625], [0.02801], [-0.47684], [-0.0354], [-0.03444], [0.3643], [-0.03641], [-0.37496], [0.72113], [0.2889], [0.85322], [0.04696], [-0.8725452072259903], [0.00244], [0.78253], [0.36989], [0.88625], [0.52814], [0.04366], [0.48415563513328147], [0.28306], [-0.35815], [-0.00095], [-0.93052], [0.36335], [0.10124], [0.87083], [-0.50425], [-0.01335], [0.27902], [-0.23692], [-0.08282]]",0
0,7,1,<class 'agent.Policymakers'>,"[[0.0, 0.570639, 0.34516306721287876], [-0.4166666666666667, 0.665939, 0.6548369327871212], [-0.27777777777777785, 0.5064895, 0.37683167471520107], [0.0, 0.46410174279283156, 0.3224226366999229], [-0.4725726960911734, 0.7138364089187762, 0.46141541722950574], [-0.16666666666666663, 0.779914, 0.2743837625334653], [0.0, 0.010625000000000006, 0.001224845728284102], [-0.04901960784313727, 0.076536, 0.015409498343414504], [-0.119047619047619, 0.0466215, 0.12773233150113245], [0.0, 0.042023500000000005, 0.06403934120727779], [-0.6424039561644208, 0.053256, 0.20714553508459665], [-0.8292772158755963, 0.028683499999999997, 0.17352777206193828], [-0.6610559210402227, 0.017547000000000004, 0.07822907190938637], [-0.31749498057020803, 0.7165985, 0.1895424379549468], [-0.5006410101417097, 0.0703535, 0.10855331501221692], [-0.3029563502057011, -0.002852499999999994, 0.0345958511968061], [-0.04236], [0.009270093560285245], [0.7228042430710246], [-0.7665], [0.47639], [0.52995], [-0.043143455381368365], [-0.04399], [-0.48768], [-0.03836], [0.02408], [0.44784], [0.02563], [-0.37064], [0.73593], [0.29528], [0.8543], [0.04548], [-0.48361], [-0.04874], [0.0035], [0.39978], [-0.01017], [-0.42283], [0.66077], [0.29783], [0.93981], [-0.03286], [-0.8543364846103946], [0.00684], [0.79429], [0.43281], [0.92821], [0.54561], [-0.02471], [0.5142442973172613], [0.31242], [-0.43052], [-0.00731], [-0.86712], [0.40242], [0.12394], [0.9332], [-0.51113], [0.04178], [0.34794], [-0.17073], [-0.07377]]",1
0,8,1,<class 'agent.Policymakers'>,"[[0.0, -0.2098455, 0.14488063632396883], [-0.4166666666666667, 0.8218905000000001, 0.8551193636760313], [-0.27777777777777785, -0.2274825, 0.5662843996558419], [0.0, -0.1893455, 0.6267195975309628], [-0.4725726960911734, 0.08913, 0.4432639916536103], [-0.16666666666666663, 0.1049615, 0.3723581833551711], [0.0, -0.0477225, 0.031069746984597607], [-0.04901960784313727, 0.007820500000000001, 0.014625055480654259], [-0.119047619047619, 0.024898499999999997, 0.032310374124443514], [0.0, -0.024326, 0.005460252531651799], [-0.6424039561644208, 0.031799, 0.15133266456646818], [-0.8292772158755964, 0.015694, 0.20519039294790964], [-0.6610559210402227, 0.0173235, 0.15227012049475283], [-0.31749498057020803, 0.6274799999999999, 0.21211058250456657], [-0.5006410101417097, 0.033924, 0.11998930979029596], [-0.30295635020570105, 0.034034499999999995, 0.07564150057465968], [0.01797], [0.015243496227660995], [0.7845447218347817], [-0.73029], [0.54314], [0.49055], [0.00342], [0.0408], [-0.46951], [-0.02606], [0.04481], [0.42281], [0.02858], [-0.41846], [0.67222], [0.34633], [0.93634], [-0.02618], [-0.479], [-0.04392], [0.00034], [0.36466], [0.02522], [-0.36533], [0.7209], [0.26627], [0.89512], [0.00408], [-0.8363997592578852], [0.00104], [0.80045], [0.41423], [0.91569], [0.52722], [-0.0076], [0.535481148635571], [0.30698], [-0.41201], [-0.04212], [-0.87012], [0.38824], [0.06957], [0.8599], [-0.46125], [0.0282], [0.29464], [-0.22025], [-0.10558]]",2
0,9,1,<class 'agent.Policymakers'>,"[[0.0, 0.636844, 0.36671831284377465], [-0.4166666666666667, 0.6830919999999999, 0.6332816871562253], [-0.2777777777777778, 0.5422125, 0.3909551794948769], [0.0, 0.43808403612886415, 0.30845846769555424], [-0.4725726960911734, 0.7225410747360402, 0.49963800178829054], [-0.16666666666666663, 0.771102, 0.28035771934225673], [0.0, 0.014894000000000004, 0.0017839975658092788], [-0.04901960784313727, 0.029464000000000004, 0.01465721398406165], [-0.119047619047619, -0.017875500000000002, 0.12086531971165929], [0.0, -0.006999999999999999, 0.05831185748996071], [-0.6424039561644208, 0.040650500000000006, 0.2074919116725388], [-0.8292772158755963, 0.013372000000000002, 0.17007520738403611], [-0.6610559210402227, 0.0676335, 0.09322001035137883], [-0.31749498057020803, 0.720954, 0.19391140217920858], [-0.5006410101417097, 0.0081075, 0.09815820059003091], [-0.3029563502057011, 0.043720999999999996, 0.041524879071316065], [-0.01497], [0.02419362948702387], [0.7808502971689298], [-0.70245], [0.48227], [0.5180170842206273], [0.034425880248328045], [0.02782], [-0.45719], [-0.02654], [0.00724], [0.36445], [-0.04294], [-0.38638], [0.7053], [0.32746], [0.90231], [-0.04], [-0.54949], [0.03248], [-0.03099], [0.37308], [-0.02923], [-0.44764], [0.7277], [0.28843], [0.86993], [-0.03792], [-0.8607619187826925], [0.03672], [0.75967], [0.40149], [0.87793], [0.48301], [0.04148], [0.48568812723851557], [0.26001], [-0.4347], [0.01509], [-0.87466], [0.42744], [0.11149], [0.87125], [-0.54844], [-0.02856], [0.32204], [-0.17409], [-0.11306]]",0
