Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,0,"[[0.09469166666666673, 0.5683268344625593, 0.33546889316617096], [-0.31235499999999994, 0.62587, 0.664531106833829], [-0.17002944444444446, 0.64649, 0.2705025407249833], [0.10453666666666672, 0.62722, 0.17315836214711225], [-0.36575269609117356, 0.6407903040402801, 0.33345493574835583], [-0.06496499999999994, 0.6078170416671106, 0.22288416137954867], [0.10750666666666664, 0.6300587727647543, 0.06407771662679788], [0.05088539215686272, 0.59943, 0.06539033722906584], [-0.015847619047619, 0.6192, 0.07570209855734099], [0.1035733333333334, 0.62144, 0.061733313004708655], [-0.5483639561644206, 0.56424, 0.13263013956522013], [-0.7227305492089297, 0.6248004515052857, 0.16236114228249873], [-0.5689625877068895, 0.55256, 0.13369330255296133], [-0.21895998057020793, 0.59121, 0.09657790357407194], [-0.405849343475043, 0.56875, 0.1161790286912881], [-0.2097730168723677, 0.5591, 0.09165501791604633]]",0
0,1,0,"[[0.12441499999999994, 0.7440787212011221, 0.38763173603247314], [-0.3042149999999999, 0.67471, 0.6123682639675269], [-0.15444611111111117, 0.73999, 0.26683173525412557], [0.12138333333333329, 0.7283, 0.18105779195357063], [-0.3543876960911737, 0.7089652658367547, 0.3172236814839379], [-0.04193000000000002, 0.7454247273870365, 0.23488679130836584], [0.12083666666666659, 0.7121112883797421, 0.06539773901929602], [0.06429372549019619, 0.67988, 0.06663201101914905], [-0.003099285714285638, 0.69569, 0.07563803371485994], [0.11290999999999995, 0.67746, 0.06110776568372221], [-0.5290889561644209, 0.67989, 0.13086175320139315], [-0.7115072158755966, 0.6945568272869873, 0.15350028450524367], [-0.5386175877068892, 0.73463, 0.1378182893401065], [-0.20521998057020796, 0.67365, 0.09513024681452796], [-0.3830093434750431, 0.70579, 0.11785332593687631], [-0.18605468353903432, 0.70141, 0.09606055076482507]]",1
0,2,0,"[[-0.026790000000000008, -0.15157180011768417, 0.33426072088252073], [-0.450295, -0.20177, 0.6657392791174793], [-0.3148411111111111, -0.22238, 0.14895278703911835], [-0.04087833333333332, -0.24527, 0.32927041468261026], [-0.5079676960911734, -0.21229202216956725, 0.4763269136725773], [-0.1946233333333333, -0.16641072372697105, 0.045449884605694074], [-0.04076000000000002, -0.23929855991845372, 0.07184289076853816], [-0.07966627450980392, -0.18388, 0.03673707211469371], [-0.15019595238095232, -0.18689, 0.012935262291220708], [-0.03366666666666668, -0.202, 0.05934030068385962], [-0.6838256228310874, -0.24853, 0.15344894937721587], [-0.866073882542263, -0.21626853032290946, 0.2274768298188896], [-0.6917309210402227, -0.18405, 0.17896597132268677], [-0.3433883139035413, -0.15536, 0.06628310901454623], [-0.5268310101417097, -0.15714, 0.13032223189264663], [-0.32800468353903445, -0.15029, 0.06264738271570254]]",2
1,0,0,"[[0.01578194444444446, 0.5683664614240589, 0.3353506921140575], [-0.4687258333333333, 0.6264707038906698, 0.6646493078859426], [-0.30611601851851855, 0.64649, 0.326810476616701], [0.017422777777777787, 0.62722, 0.20920308811812385], [0.06965455034036416, 0.6367977532614418, 0.194569776857815], [-0.17749416666666662, 0.6078170416671106, 0.2694166584073601], [0.01791777777777777, 0.6300587727647543, 0.06411899573632152], [0.0476965849673203, 0.59943, 0.05779157543078641], [-0.026450793650793558, 0.6192, 0.06762899532015268], [-0.06607111111111119, 0.62144, 0.07201367391338474], [-0.44250515855825534, 0.56424, 0.10545199399777573], [-0.9364168701438957, 0.6248004515052857, 0.1635304408789431], [-0.4963384098304776, 0.55256, 0.10986735608058022], [-0.46861452888054655, 0.59121, 0.11101181754701217], [-0.7977399376447101, 0.5395772850577065, 0.14313362967535204], [-0.44764064687781746, 0.5589059023015722, 0.10545152141969139]]",0
1,1,0,"[[0.02073583333333333, 0.7414293270441624, 0.38684233616159563], [-0.4673691666666666, 0.6749534222515107, 0.6131576638384044], [-0.3035187962962963, 0.73999, 0.31586841046452335], [0.020230555555555543, 0.7283, 0.21433146582854404], [0.07154871700703086, 0.704509476569333, 0.19159618943220913], [-0.17365499999999998, 0.7454247273870365, 0.27820393427472345], [0.020139444444444432, 0.7121112883797421, 0.06563389584066386], [0.04993130718954255, 0.67988, 0.05975096711124267], [-0.024326071428571332, 0.69569, 0.0682939056696151], [-0.0645150000000001, 0.67746, 0.0703767216732739], [-0.4392926585582554, 0.67989, 0.10615506784313361], [-0.9345463145883403, 0.6945568272869873, 0.15452129572130593], [-0.49128090983047756, 0.73463, 0.11627829899574713], [-0.4663245288805465, 0.67365, 0.10812718775382965], [-0.7939332709780436, 0.6789562222750064, 0.1422495464517722], [-0.4436875913222619, 0.7011673377790705, 0.10861311293941596]]",1
1,2,0,"[[-0.004465, -0.14266579764762108, 0.31982809246348104], [-0.49171583333333335, -0.19780700426515468, 0.6801719075365189], [-0.33025129629629635, -0.22238, 0.16991295628510314], [-0.006813055555555551, -0.24527, 0.37560431522003745], [0.0459520503403642, -0.2098886440625901, 0.40298624580014547], [-0.19910388888888886, -0.16641072372697105, 0.05149648269471405], [-0.006793333333333339, -0.23929855991845372, 0.070486472019764], [0.02593797385620919, -0.18388, 0.0636085861839535], [-0.04884218253968245, -0.18689, 0.04185068768440703], [-0.08894444444444452, -0.202, 0.034274013407729224], [-0.4650821030026998, -0.24853, 0.06565011020744814], [-0.9603074256994513, -0.21626853032290946, 0.2255634316305345], [-0.5167997987193664, -0.18405, 0.10087669736072821], [-0.4893525844361021, -0.15536, 0.10125346128098864], [-0.8179035487558213, -0.1532008626687572, 0.2003176103828619], [-0.4673459246555952, -0.15022601627288612, 0.09611892984158503]]",2
2,0,0,"[[0.0026303240740740766, 0.5683664614240589, 0.33519624932914244], [-0.4947876388888889, 0.6272520818807862, 0.6648037506708575], [-0.3287971141975309, 0.64649, 0.3333815344291153], [0.0029037962962962984, 0.62722, 0.21340945751237092], [0.11255816748864217, 0.6343270947378942, 0.17835581240803544], [-0.19624902777777772, 0.6078170416671106, 0.2748531956504784], [0.0029862962962962925, 0.6300587727647543, 0.06879421927892215], [0.12657688180827886, 0.59943, 0.05187528127977023], [0.05749629629629631, 0.6192, 0.061622809503614075], [-0.16934518518518515, 0.62144, 0.08675464395843102], [-0.13082501821243026, 0.56424, 0.07625347479019698], [-0.9505439418360505, 0.6248004515052857, 0.17282625486241662], [-0.22627638863872923, 0.55256, 0.08544377773389907], [-0.6116504239734266, 0.59121, 0.13196216844788838], [-0.9179999832624005, 0.511190921501619, 0.1599063808022669], [-0.3941875293313086, 0.5581071897687778, 0.10456098934259453]]",0
2,1,0,"[[0.003455972222222225, 0.7414293270441624, 0.3868137251279058], [-0.4945615277777778, 0.6752913057753664, 0.6131862748720941], [-0.3283642438271605, 0.73999, 0.32148408726824607], [0.003371759259259255, 0.7283, 0.21814196476128372], [0.11287386193308663, 0.7017522731541489, 0.1772024959298104], [-0.1956091666666666, 0.7454247273870365, 0.28317145204065974], [0.003356574074074071, 0.7121112883797421, 0.0699173284050079], [0.12694933551198256, 0.67988, 0.05454557701542866], [0.05785041666666668, 0.69569, 0.06292168322480735], [-0.16908583333333332, 0.67746, 0.08351016486294773], [-0.13028960154576363, 0.67989, 0.0799227040398687], [-0.9502321825767913, 0.6945568272869873, 0.1622553628757908], [-0.2254334719720626, 0.73463, 0.0947084678304848], [-0.6112687573067599, 0.67365, 0.1267548348040003], [-0.9173655388179561, 0.6524520863687686, 0.157474159335556], [-0.393528686738716, 0.7001687821101369, 0.10798971760610773]]",1
2,2,0,"[[-0.0007441666666666668, -0.14266579764762108, 0.31511329665269067], [-0.49861930555555556, -0.19015806634815172, 0.6848867033473093], [-0.3328196604938272, -0.22238, 0.15664577410437677], [-0.0011355092592592589, -0.24527, 0.3462762934679487], [0.1086077508219755, -0.2084061969417858, 0.4496473008635736], [-0.1998506481481481, -0.16641072372697105, 0.04743063156410111], [-0.0011322222222222228, -0.23929855991845372, 0.07471927442306885], [0.12295044662309366, -0.18388, 0.0962610777171407], [0.053764398148148165, -0.18689, 0.07549984683093389], [-0.17315740740740737, -0.202, 0.009048707772243678], [-0.13458784228650428, -0.24853, 0.035746761834201855], [-0.9545257010953098, -0.21626853032290946, 0.23161140516884307], [-0.22968662012021074, -0.18405, 0.014317452144948221], [-0.6151067665660193, -0.15536, 0.14423509698494438], [-0.9213605851142523, -0.14930185593998835, 0.2409926510074624], [-0.3974717422942715, -0.14996278387046824, 0.07756772611621304]]",2
3,0,0,"[[0.0004383873456790129, 0.5683664614240589, 0.3348346040975864], [-0.49913127314814815, 0.6290857558431032, 0.6651653959024136], [-0.33257729681069964, 0.64649, 0.3309640539274429], [0.00048396604938271684, 0.62722, 0.21186194168102143], [0.08620407305687397, 0.631437362686638, 0.18431074192742888], [-0.1993748379629629, 0.6078170416671106, 0.27286326246410686], [0.0004977160493827154, 0.6300587727647543, 0.07421020664973187], [0.2111941861837326, 0.59943, 0.04576372643258602], [0.1486303350970019, 0.6192, 0.05546892029462775], [-0.25405753086419747, 0.62144, 0.10320024085628254], [0.14907977980887893, 0.56424, 0.048937470646409874], [-0.9279572966483098, 0.6248004515052857, 0.183033038874174], [0.017818674498109893, 0.55256, 0.0630332258426014], [-0.6989475054676477, 0.59121, 0.1520787445001425], [-0.9567915822947439, 0.49789567960345193, 0.17304006307710837], [-0.3007128474489132, 0.5446807104070206, 0.10123436282633576]]",0
