Step,CoalitionID_as,Lead,Issue,Creation,Members,Resources
0,0,11,3,1,"[11, 1, 2, 3, 4, 5, 6, 7, 10, 14, 15, 18, 19, 20, 22, 24, 25, 27, 28, 29]",18.79556839391876
0,1,9,4,1,"[9, 0, 8, 16, 17, 21, 26]",6.725063080608911
1,2,11,3,2,"[11, 8, 23, 14, 17, 29, 26, 2, 5, 20]",9.506494935666275
1,3,9,2,2,"[9, 27, 24, 15, 3, 21, 10, 16, 6, 1, 12, 7, 19, 22, 25, 0, 4, 18, 13, 28]",18.890710748843052
2,4,11,3,3,"[11, 5, 29, 23, 20, 26, 17, 2, 8, 14]",9.595656310747609
2,5,9,2,3,"[9, 12, 4, 10, 25, 21, 0, 13, 24, 7, 22, 28, 19, 1, 18, 16, 27, 15, 3, 6]",18.928569347799325
3,6,11,3,4,"[11, 26, 20, 23, 2, 29, 17, 8, 14, 5]",9.52972677852192
3,7,9,2,4,"[9, 18, 10, 7, 21, 19, 6, 4, 25, 27, 12, 16, 3, 22, 1, 24, 0, 28, 13, 15]",19.050134585892152
4,8,8,3,5,"[8, 26, 5, 23, 2, 29, 20, 11, 17, 14]",9.459956516180034
4,9,9,2,5,"[9, 12, 24, 21, 4, 1, 7, 28, 27, 3, 18, 25, 22, 10, 0, 16, 19, 6, 13, 15]",18.99683746837799
5,10,9,2,6,"[9, 3, 13, 7, 1, 18, 10, 4, 6, 27, 19, 21, 12, 22, 25, 24, 28, 15, 0, 16]",19.16480572464065
5,11,8,3,6,"[8, 14, 29, 23, 17, 2, 26, 5, 20, 11]",9.376794594856127
6,12,9,2,7,"[9, 1, 21, 22, 4, 3, 7, 6, 16, 19, 0, 27, 10, 13, 24, 18, 12, 15, 28, 25]",19.24636421916408
6,13,8,3,7,"[8, 2, 26, 5, 14, 11, 23, 20, 17, 29]",9.476934802353
7,14,9,2,8,"[9, 13, 15, 0, 28, 21, 16, 18, 1, 6, 25, 27, 24, 19, 10, 3, 12, 22, 7, 4]",19.2231947002722
7,15,8,3,8,"[8, 11, 20, 26, 14, 23, 2, 17, 5, 29]",9.28684783945696
8,16,9,2,9,"[9, 6, 13, 16, 27, 19, 25, 4, 7, 0, 10, 28, 24, 1, 22, 3, 15, 12, 18, 21]",18.833479979662396
8,17,8,3,9,"[8, 26, 29, 20, 5, 17, 23, 11, 14, 2]",9.54308475951828
9,18,9,2,10,"[9, 12, 19, 0, 7, 1, 15, 6, 18, 4, 25, 21, 28, 24, 22, 16, 3, 10, 27, 13]",19.091979516257464
9,19,8,3,10,"[8, 23, 11, 26, 2, 17, 14, 5, 20, 29]",9.52083662709931
10,20,9,2,11,"[9, 15, 10, 18, 13, 12, 27, 6, 3, 7, 24, 16, 22, 19, 28, 0, 21, 4, 1, 25]",19.047782845725983
10,21,8,3,11,"[8, 2, 5, 29, 17, 26, 11, 20, 14, 23]",9.519629452532907
11,22,9,2,12,"[9, 4, 12, 3, 19, 18, 15, 0, 25, 6, 28, 7, 21, 22, 16, 27, 10, 13, 24, 1]",19.092303137608674
11,23,5,2,12,"[5, 2, 23, 11, 14, 8, 29, 17, 26, 20]",9.462724530112629
12,24,5,2,13,"[5, 14, 17, 8, 11, 26, 2, 23, 20, 29]",9.569003913697198
12,25,1,2,13,"[1, 28, 22, 13, 24, 7, 19, 9, 4, 15, 12, 25, 21, 3, 0, 16, 10, 18, 6, 27]",19.204659704090684
13,26,2,3,14,"[2, 17, 5, 8, 20, 29, 11, 23, 26, 14]",9.643825991141263
13,27,1,2,14,"[1, 21, 28, 16, 3, 18, 27, 22, 12, 0, 24, 6, 10, 7, 13, 15, 25, 9, 4, 19]",18.986107984634383
14,28,5,2,15,"[5, 14, 8, 26, 11, 29, 23, 17, 20, 2]",9.62979798034577
14,29,1,2,15,"[1, 9, 12, 22, 24, 27, 16, 15, 10, 4, 13, 21, 18, 19, 0, 3, 7, 25, 28, 6]",19.345967844529575
15,30,2,3,16,"[2, 20, 17, 8, 11, 5, 29, 14, 26, 23]",9.49429253282269
15,31,1,2,16,"[1, 28, 7, 4, 12, 3, 22, 19, 9, 24, 10, 27, 21, 15, 0, 13, 18, 16, 25, 6]",19.194961946934193
16,32,5,2,17,"[5, 20, 17, 29, 26, 8, 23, 2, 11, 14]",9.567179505775206
16,33,1,2,17,"[1, 28, 12, 16, 3, 25, 13, 10, 6, 18, 4, 19, 9, 21, 27, 22, 15, 7, 24, 0]",18.99130565619393
17,34,5,2,18,"[5, 8, 11, 14, 23, 26, 29, 20, 2, 17]",9.628057128073475
17,35,1,2,18,"[1, 0, 18, 22, 28, 21, 9, 16, 25, 24, 6, 10, 3, 12, 4, 7, 27, 13, 19, 15]",19.18529404458999
18,36,5,2,19,"[5, 11, 23, 2, 20, 26, 29, 14, 8, 17]",9.441374929547717
18,37,1,2,19,"[1, 10, 4, 18, 24, 27, 15, 12, 13, 19, 22, 6, 25, 3, 7, 9, 21, 16, 0, 28]",19.081949929714085
