Step,CoalitionID_pf,Lead,Issue,Creation,Members,Resources
0,0,11,13,1,"[11, 14, 6, 3, 17, 16, 28, 4, 22, 18, 29, 12, 25]",12.91745457546583
0,1,20,13,1,"[20, 10, 21, 19, 0, 1, 26, 5, 24, 15, 23]",10.939691305657934
0,2,9,11,1,"[9, 2, 7, 8]",3.987212977427194
1,3,11,13,2,"[11, 28, 17, 6, 16, 4, 3, 18, 25, 12, 29, 8, 22, 14]",13.889502647091266
1,4,20,13,2,"[20, 21, 15, 24, 23, 26, 19, 1, 10, 5, 0]",10.92497519961616
1,5,9,13,2,"[9, 2]",1.9996030108651792
2,6,11,13,3,"[11, 3, 12, 29, 18, 6, 17, 28, 4, 14, 22, 16, 25]",12.839473067766233
2,7,20,13,3,"[20, 24, 21, 5, 23, 10, 0, 1, 15, 26, 19]",10.89595815219814
2,8,9,13,3,"[9, 2, 8]",2.976577750141513
3,9,11,13,4,"[11, 3, 16, 14, 12, 23, 25, 6, 28, 22, 29, 17, 18]",12.776677092498172
3,10,9,13,4,"[9, 5, 20, 2, 8]",4.912193571262857
3,11,7,13,4,"[7, 26]",1.978390149901304
3,12,1,13,4,[1],1.0
3,13,4,13,4,[4],1.0
3,14,10,13,4,"[10, 0]",1.9887952101331523
3,15,19,13,4,[19],1.0
3,16,21,13,4,"[21, 24]",1.9901355871206468
4,17,11,13,5,"[11, 22, 18, 29, 3, 23, 14, 16, 17, 25, 6, 12, 28]",12.807198537613003
4,18,9,13,5,"[9, 8, 2, 5, 20]",4.935691523249265
4,19,1,13,5,"[1, 26]",1.9839380883975897
4,20,7,13,5,[7],1.0
4,21,4,13,5,[4],1.0
4,22,10,13,5,"[10, 0]",1.9973204198112697
4,23,21,13,5,[21],1.0
4,24,19,13,5,[19],1.0
4,25,27,13,5,[27],1.0
5,26,11,13,6,"[11, 14, 25, 29, 28, 3, 12, 6, 17, 22, 18, 23, 26, 16]",13.80888994704284
5,27,9,13,6,"[9, 2, 5, 8, 24, 20]",5.937051851822729
5,28,1,13,6,[1],1.0
5,29,7,13,6,[7],1.0
5,30,4,13,6,[4],1.0
5,31,10,13,6,[10],1.0
5,32,21,13,6,[21],1.0
5,33,19,13,6,[19],1.0
5,34,27,13,6,[27],1.0
6,35,11,13,7,"[11, 18, 6, 3, 25, 16, 12, 28, 22]",8.9135626948509
6,36,9,13,7,"[9, 23, 2, 20, 5, 17, 24, 29, 8]",8.90450888460827
6,37,1,13,7,"[1, 14, 26]",2.9874763148067123
6,38,7,13,7,[7],1.0
6,39,4,13,7,[4],1.0
6,40,10,13,7,"[10, 0]",1.999124755054034
6,41,21,13,7,[21],1.0
6,42,19,13,7,[19],1.0
7,43,11,13,8,"[11, 9, 1, 29, 13, 14, 17, 5, 8, 18, 19, 21, 0, 26, 4, 12, 23, 20, 3, 28, 2]",20.724252862983768
7,44,7,13,8,[7],1.0
7,45,6,13,8,[6],1.0
7,46,10,13,8,[10],1.0
7,47,22,13,8,[22],1.0
7,48,16,13,8,[16],1.0
7,49,27,13,8,[27],1.0
8,50,1,13,9,"[1, 17, 23, 26, 5, 8, 11]",6.947031311818456
8,51,2,13,9,"[2, 27, 22, 13, 19, 16, 28, 14, 20, 3, 25, 18, 0, 29, 6, 12, 9]",16.89267193468461
8,52,7,13,9,[7],1.0
8,53,4,13,9,[4],1.0
8,54,10,13,9,"[10, 21]",1.9844779839525883
9,55,1,13,10,"[1, 26, 5, 8, 17, 11, 23]",6.927943243805011
9,56,2,13,10,"[2, 22, 18, 0, 14, 9, 12, 6, 16, 28, 25, 20, 3, 29, 13, 27, 19]",16.89957765503918
9,57,7,13,10,"[7, 21]",1.976960262331046
9,58,4,13,10,[4],1.0
10,59,1,13,11,"[1, 29, 5, 11, 8, 2, 14, 17, 23, 20, 26]",10.936593250198145
10,60,9,13,11,"[9, 15]",1.994987580804107
10,61,7,13,11,"[7, 27]",1.9833038818480557
10,62,4,13,11,[4],1.0
10,63,12,13,11,[12],1.0
10,64,6,13,11,[6],1.0
10,65,28,13,11,[28],1.0
10,66,18,13,11,"[18, 24]",1.9926641712704014
